combination,model_id,prediction_type,bin,left,right,closed,plot_midpoint,n,mean_gust,mean_observed,mean_prediction,mean_residual,sem,ci_lower,ci_upper,interval_rule,excluded_from_bins
R0c_weather,final,LAD_OOF,2,6,8,"(left,right]",7,995,7.078994972861592,1.1349179780011549,1.1483634980556521,-0.013445520054497092,0.035699001609857242,-0.083415563209817287,0.056524523100823107,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,3,8,10,"(left,right]",9,1033,9.0473378533199931,1.1820420315131603,1.2136724619408494,-0.031630430427689163,0.037132734399470874,-0.10441058985065207,0.041149728995273749,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,4,10,12,"(left,right]",11,967,11.040020698105536,1.4224819803660416,1.3620246030150622,0.060457377350979585,0.037591574666573195,-0.01322210899550387,0.13413686369746303,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,5,12,14,"(left,right]",13,835,13.014011987240728,1.52487518686734,1.5265325209734857,-0.0016573341061455246,0.043249269670422481,-0.086425902660173581,0.083111234447882543,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,6,14,16,"(left,right]",15,803,15.046201760564022,1.5698385974679838,1.6309231472611847,-0.061084549793200923,0.047044661846479381,-0.15329208701230052,0.031122987425898668,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,7,16,18,"(left,right]",17,823,17.056986636118928,1.8784539261210353,1.8673972306708131,0.011056695450222332,0.041924567552168272,-0.071115456952027478,0.093228847852472152,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,8,18,20,"(left,right]",19,677,19.016100442567993,1.9164459732006822,1.9496291939965738,-0.033183220795891762,0.046509750590748217,-0.12434233195375827,0.057975890361974737,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,9,20,23,"(left,right]",21.5,844,21.483530821958425,2.1671315494949881,2.19118797966359,-0.024056430168601841,0.047237083243480756,-0.11664111332582412,0.068528252988620433,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,10,23,26,"(left,right]",24.5,545,24.459999969902388,2.4477127681895507,2.2567823233668429,0.19093044482270796,0.057938872863057579,0.077370254011115108,0.30449063563430079,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,11,26,30,"(left,right]",28,389,27.79537276437166,2.7896370013120841,2.8991465688637761,-0.10950956755169121,0.071539673713772955,-0.2497273280306862,0.030708192927303771,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
R0c_weather,final,LAD_OOF,12,30,45,"(left,right]",37.5,282,32.382269602295352,3.4571716871572589,3.5030810903744385,-0.045909403217180303,0.085110395368050068,-0.21272577813855842,0.12090697170419783,mean residual +/-1.96*sample_sd/sqrt(n); original unclustered bin interval,0
