request_key,cache_file_path,cache_status,cache_sha256,cache_bytes,cache_error,cache_attrs_json,product_status,units_basis,units_response_metadata_available
50.8_-0.0_2022-10-06,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-10-06.pkl,readable,032dd65825533ac747855f39ed4a2aa2688350d3fda38de4fcf69a0206007e6b,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-10-14,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-10-14.pkl,readable,39a34215b472253cce6461637f271067c02a691cdb99347f696f6b1411bbcc7e,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-11-01,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-11-01.pkl,readable,a7e00de7e615847d2d37048f30c7c2bb2afe3813aa0d92e0b477eb300771bbcd,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-11-02,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-11-02.pkl,readable,7ecfd064a5c612993aaa9280045a75a285076ac1b93099355b2e039aadc62758,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-11-07,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-11-07.pkl,readable,4ad1af3c66f9983ac0120eee600b95cda8c9029dade6b1eeebc4214082068218,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-11-10,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-11-10.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-11-21,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-11-21.pkl,readable,358c7589bc3f2e9d8efaabbb647053d96ea2ada8e0da6dd5fd4b3c1c0e0f4974,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-11-23,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-11-23.pkl,readable,812a4302c8d09e87fdb8f1b5d4c24d1a0bf6023acef49e55c214546831b08fd6,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-12-06,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-12-06.pkl,readable,2e8c911e7c550f95cc5d55fd4a0d686b80fef613159cbf555d32dd157042c13c,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-12-16,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-12-16.pkl,readable,6271f7c721045e292970729e1b27974c72d436547bc4a756e8e545ff21366b09,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-12-17,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-12-17.pkl,readable,dc05827bc0f1ce0b391c9302c279daabf0cfa5197966c0dde5c1aea514a74010,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2022-12-19,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2022-12-19.pkl,readable,40cef11b4bfa6c7e70b2d721e159b501f1f3d52c06bea58150ad0072c0f1de8e,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-01-06,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-01-06.pkl,readable,fed54e08aeb21741eb77dc7745dac3a15de18facc14de750c1672be7717035cc,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-01-08,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-01-08.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-01-13,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-01-13.pkl,readable,5204a8e38a2651e09f88bd4432c1e3faa83b34ec5a34a645831577cdcd744686,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-01-20,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-01-20.pkl,readable,49407e9d8b8a26a0aed22e169d68ab58a7ccdab61c7a562f373a37a26f41de40,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-01-27,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-01-27.pkl,missing_file,,,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
50.8_-0.0_2023-02-06,D:\Pyprogramme\STST2603\data\weather_request_cache\50.8_-0.0_2023-02-06.pkl,readable,3d42a615f9aed7aa440ed18868a0cc3b2a4f665c6fd7c97d8929c5109da22bc5,11963.0,,{},historical_model_unresolved,historical_request_code_ms_mm_GMT,False
