LAD21CD,date,gust,precip,n_inc,maxc,wmaxc,log_population,urban_binary,income_deprivation_rate,year,month,any_gt0,wthr_gt0,any_gt5,wthr_gt5,any_gt100,wthr_gt100,any_gt1000,wthr_gt1000,hours,grid_lat,grid_lon,gust_proxy
E07000242,2021-04-01,12.1,0.0917851886165476,1,2.0,-1.0,11.922794196215245,1.0,0.06,2021,4,1,0,0,0,0,0,0,0,24,51.75,0.0,10.06614879567341
E07000243,2021-04-01,12.6,0.1222615032685479,0,-1.0,-1.0,11.400428433743082,1.0,0.122,2021,4,0,0,0,0,0,0,0,0,24,52.0,-0.25,10.145356117926084
E09000001,2021-04-01,12.8,0.0392471358155869,0,-1.0,-1.0,9.36005264520451,1.0,0.065,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.0,10.16862573905264
E09000002,2021-04-01,13.4,0.0400416213840169,0,-1.0,-1.0,12.295520219247926,1.0,0.194,2021,4,0,0,0,0,0,0,0,0,24,51.5,0.25,10.099631971532313
E09000003,2021-04-01,13.2,0.052541708935036,0,-1.0,-1.0,12.87121893467506,1.0,0.111,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.179014148653112
E09000004,2021-04-01,13.4,0.0333490067855441,1,1.0,-1.0,12.415672899008923,1.0,0.106,2021,4,1,0,0,0,0,0,0,0,24,51.5,0.25,10.131549362946023
E09000005,2021-04-01,13.2,0.0454586791759716,0,-1.0,-1.0,12.762113479497112,1.0,0.155,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.21585084889399
E09000006,2021-04-01,14.0,0.0292387206864302,2,2911.0,-1.0,12.706541825990495,1.0,0.091,2021,4,1,0,1,0,1,0,1,0,24,51.25,0.0,10.203396376667508
E09000007,2021-04-01,13.2,0.0416749741195297,0,-1.0,-1.0,12.259461742189076,1.0,0.141,2021,4,0,0,0,0,0,0,0,0,24,51.5,-0.25,10.18069747153216
E09000008,2021-04-01,14.0,0.0284190578156011,0,-1.0,-1.0,12.87567224520067,1.0,0.136,2021,4,0,0,0,0,0,0,0,0,24,51.25,0.0,10.245238231226242
E09000010,2021-04-01,12.1,0.0538232160671603,2,1.0,-1.0,12.70081156938222,1.0,0.171,2021,4,1,0,0,0,0,0,0,0,24,51.75,0.0,10.131012300381853
E09000011,2021-04-01,12.8,0.0347656147746018,1,1.0,-1.0,12.576038374391665,1.0,0.159,2021,4,1,0,0,0,0,0,0,0,24,51.5,0.0,10.146382621490655
