target,version,bin,lower,upper,n,mean_probability,observed_frequency,events
wthr_gt100,proxy,5,0.013126551042189813,0.01329108764469791,7563,0.01319178026178712,0.013618934285336507,103
wthr_gt100,proxy,6,0.01329108764469791,0.013649792737083749,5895,0.013447201671460086,0.016963528413910092,100
wthr_gt100,proxy,7,0.013649792737083749,0.013881431605278688,17895,0.013702273889282484,0.012070410729253982,216
wthr_gt100,proxy,8,0.013881431605278688,0.015683836471846336,12748,0.014545600187132008,0.017492940069030436,223
wthr_gt100,proxy,9,0.015683836471846336,0.025520089924061823,12440,0.019089397035857117,0.020257234726688104,252
wthr_gt100,proxy,10,0.025520089924061823,0.6819433192016445,11991,0.07773039793681377,0.07605704278208657,912
wthr_gt100,era5_daily_max,1,0.012822612747670988,0.012944828880457955,24210,0.012878529866656718,0.014043783560512184,340
wthr_gt100,era5_daily_max,2,0.012944828880457955,0.012995821703445952,3070,0.012968317319912052,0.01530944625407166,47
wthr_gt100,era5_daily_max,3,0.012995821703445952,0.013086166275803774,2104,0.013036779464982814,0.010931558935361217,23
wthr_gt100,era5_daily_max,4,0.013086166275803774,0.013126551042189813,14723,0.013114961552121707,0.012157848264619983,179
wthr_gt100,era5_daily_max,5,0.013126551042189813,0.01329108764469791,16825,0.013165701695161073,0.012540861812778603,211
wthr_gt100,era5_daily_max,6,0.01329108764469791,0.013649792737083749,18261,0.013554963214512761,0.012157056021028421,222
wthr_gt100,era5_daily_max,7,0.013649792737083749,0.013881431605278688,6648,0.013740703411329198,0.015042117930204572,100
wthr_gt100,era5_daily_max,8,0.013881431605278688,0.015683836471846336,11555,0.014579896526599712,0.016443098225876245,190
wthr_gt100,era5_daily_max,9,0.015683836471846336,0.025520089924061823,11880,0.01902514171642238,0.018602693602693603,221
wthr_gt100,era5_daily_max,10,0.025520089924061823,0.6819433192016445,12379,0.07638297859858144,0.07577348735762178,938
wthr_gt100,era5_daily_max,11,0.6819433192016445,1.0,1,0.6819433192016445,1.0,1
wthr_gt1000,proxy,1,0.0013515310645585428,0.001406948423296156,24332,0.001363780739659038,0.00135623869801085,33
wthr_gt1000,proxy,2,0.001406948423296156,0.0014504894307840724,24331,0.0014262823537515036,0.0016439932596276354,40
wthr_gt1000,proxy,3,0.0014504894307840724,0.0014632633509928342,24331,0.001455815500397961,0.0012329949447207266,30
wthr_gt1000,proxy,4,0.0014632633509928342,0.0015034118558251968,24331,0.0014781474024481403,0.0011918951132300357,29
wthr_gt1000,proxy,5,0.0015034118558251968,0.002457284525674151,14808,0.0017521472572622897,0.0021609940572663426,32
wthr_gt1000,proxy,6,0.002457284525674151,0.002532191388519211,303,0.002495108283190901,0.0,0
wthr_gt1000,proxy,7,0.002532191388519211,0.002552694448397482,99,0.0025417682375338257,0.0,0
wthr_gt1000,proxy,8,0.002552694448397482,0.002634709723841687,301,0.0025914416062134543,0.0033222591362126247,1
wthr_gt1000,proxy,9,0.002634709723841687,0.0026449611858056364,30,0.0026389138981714787,0.0,0
wthr_gt1000,proxy,10,0.0026449611858056364,0.2692213284693819,8789,0.0164023349865586,0.01661167368301286,146
wthr_gt1000,proxy,11,0.2692213284693819,1.0,1,0.2692213284693819,1.0,1
wthr_gt1000,era5_daily_max,6,0.002457284525674151,0.002532191388519211,25208,0.0024572845256741515,0.002975245953665503,75
wthr_gt1000,era5_daily_max,7,0.002532191388519211,0.002552694448397482,24112,0.002532191388519212,0.0026957531519575316,65
wthr_gt1000,era5_daily_max,8,0.002552694448397482,0.002634709723841687,24112,0.002552694448397481,0.002612806901128069,63
wthr_gt1000,era5_daily_max,9,0.002634709723841687,0.0026449611858056364,24112,0.0026347097238416865,0.002281021897810219,55
wthr_gt1000,era5_daily_max,10,0.0026449611858056364,0.2692213284693819,24112,0.0026449611858056364,0.002239548772395488,54
