LAD21CD,date,gust_grid,hours,grid_lat,grid_lon
E09000013,2023-08-11,12.7,24,51.5,-0.25
E09000013,2023-08-12,15.1,24,51.5,-0.25
E09000013,2023-08-13,14.1,24,51.5,-0.25
E09000013,2023-08-14,15.3,24,51.5,-0.25
E09000013,2023-08-15,7.8,24,51.5,-0.25
E09000013,2023-08-16,6.0,24,51.5,-0.25
E09000013,2023-08-17,12.1,24,51.5,-0.25
E09000013,2023-08-18,11.4,24,51.5,-0.25
E09000013,2023-08-19,14.9,24,51.5,-0.25
E09000013,2023-08-20,9.9,24,51.5,-0.25
E09000013,2023-08-21,10.1,24,51.5,-0.25
E09000013,2023-08-22,9.7,24,51.5,-0.25
E09000013,2023-08-23,5.0,24,51.5,-0.25
E09000013,2023-08-24,7.4,24,51.5,-0.25
E09000013,2023-08-25,9.3,24,51.5,-0.25
E09000013,2023-08-26,10.0,24,51.5,-0.25
E09000013,2023-08-27,11.0,24,51.5,-0.25
E09000013,2023-08-28,8.0,24,51.5,-0.25
E09000013,2023-08-29,8.3,24,51.5,-0.25
E09000013,2023-08-30,10.9,24,51.5,-0.25
E09000013,2023-08-31,7.0,24,51.5,-0.25
E09000013,2023-09-01,5.0,24,51.5,-0.25
E09000013,2023-09-02,7.9,24,51.5,-0.25
E09000013,2023-09-03,5.8,24,51.5,-0.25
E09000013,2023-09-04,8.3,24,51.5,-0.25
E09000013,2023-09-05,9.0,24,51.5,-0.25
E09000013,2023-09-06,5.3,24,51.5,-0.25
E09000013,2023-09-07,6.9,24,51.5,-0.25
E09000013,2023-09-08,4.8,24,51.5,-0.25
E09000013,2023-09-09,4.5,24,51.5,-0.25
E09000013,2023-09-10,9.1,24,51.5,-0.25
E09000013,2023-09-11,10.0,24,51.5,-0.25
E09000013,2023-09-12,10.2,24,51.5,-0.25
E09000013,2023-09-13,10.9,24,51.5,-0.25
E09000013,2023-09-14,6.9,24,51.5,-0.25
E09000013,2023-09-15,8.4,24,51.5,-0.25
E09000013,2023-09-16,8.7,24,51.5,-0.25
E09000013,2023-09-17,12.6,24,51.5,-0.25
E09000013,2023-09-18,16.5,24,51.5,-0.25
E09000013,2023-09-19,22.0,24,51.5,-0.25
E09000013,2023-09-20,22.5,24,51.5,-0.25
E09000013,2023-09-21,8.8,24,51.5,-0.25
E09000013,2023-09-22,9.7,24,51.5,-0.25
E09000013,2023-09-23,8.8,24,51.5,-0.25
E09000013,2023-09-24,15.9,24,51.5,-0.25
E09000013,2023-09-25,13.0,24,51.5,-0.25
E09000013,2023-09-26,12.3,24,51.5,-0.25
E09000013,2023-09-27,15.2,24,51.5,-0.25
E09000013,2023-09-28,13.8,24,51.5,-0.25
E09000013,2023-09-29,11.4,24,51.5,-0.25
E09000013,2023-09-30,10.1,24,51.5,-0.25
E09000013,2023-10-01,11.7,24,51.5,-0.25
E09000013,2023-10-02,11.5,24,51.5,-0.25
E09000013,2023-10-03,14.6,24,51.5,-0.25
E09000013,2023-10-04,13.8,24,51.5,-0.25
E09000013,2023-10-05,10.8,24,51.5,-0.25
E09000013,2023-10-06,12.8,24,51.5,-0.25
E09000013,2023-10-07,11.2,24,51.5,-0.25
E09000013,2023-10-08,7.2,24,51.5,-0.25
E09000013,2023-10-09,5.3,24,51.5,-0.25
E09000013,2023-10-10,10.9,24,51.5,-0.25
E09000013,2023-10-11,12.3,24,51.5,-0.25
E09000013,2023-10-12,8.1,24,51.5,-0.25
E09000013,2023-10-13,18.5,24,51.5,-0.25
E09000013,2023-10-14,10.9,24,51.5,-0.25
E09000013,2023-10-15,8.7,24,51.5,-0.25
E09000013,2023-10-16,8.5,24,51.5,-0.25
E09000013,2023-10-17,14.2,24,51.5,-0.25
E09000013,2023-10-18,17.7,24,51.5,-0.25
E09000013,2023-10-19,15.1,24,51.5,-0.25
E09000013,2023-10-20,10.5,24,51.5,-0.25
E09000013,2023-10-21,10.5,24,51.5,-0.25
E09000013,2023-10-22,7.6,24,51.5,-0.25
E09000013,2023-10-23,8.6,24,51.5,-0.25
E09000013,2023-10-24,9.0,24,51.5,-0.25
E09000013,2023-10-25,8.1,24,51.5,-0.25
E09000013,2023-10-26,8.3,24,51.5,-0.25
E09000013,2023-10-27,8.7,24,51.5,-0.25
E09000013,2023-10-28,12.0,24,51.5,-0.25
E09000013,2023-10-29,11.5,24,51.5,-0.25
E09000013,2023-10-30,11.0,24,51.5,-0.25
E09000013,2023-10-31,10.0,24,51.5,-0.25
E09000013,2023-11-01,20.8,24,51.5,-0.25
E09000013,2023-11-02,23.2,24,51.5,-0.25
E09000013,2023-11-03,13.8,24,51.5,-0.25
E09000013,2023-11-04,15.0,24,51.5,-0.25
E09000013,2023-11-05,14.8,24,51.5,-0.25
E09000013,2023-11-06,13.4,24,51.5,-0.25
E09000013,2023-11-07,12.2,24,51.5,-0.25
E09000013,2023-11-08,17.2,24,51.5,-0.25
E09000013,2023-11-09,11.1,24,51.5,-0.25
E09000013,2023-11-10,10.9,24,51.5,-0.25
E09000013,2023-11-11,7.9,24,51.5,-0.25
E09000013,2023-11-12,7.9,24,51.5,-0.25
E09000013,2023-11-13,19.6,24,51.5,-0.25
E09000013,2023-11-14,14.6,24,51.5,-0.25
E09000013,2023-11-15,12.8,24,51.5,-0.25
E09000013,2023-11-16,7.0,24,51.5,-0.25
E09000013,2023-11-17,8.1,24,51.5,-0.25
E09000013,2023-11-18,13.4,24,51.5,-0.25
E09000013,2023-11-19,16.6,24,51.5,-0.25
E09000013,2023-11-20,11.5,24,51.5,-0.25
E09000013,2023-11-21,11.3,24,51.5,-0.25
E09000013,2023-11-22,9.0,24,51.5,-0.25
E09000013,2023-11-23,13.4,24,51.5,-0.25
E09000013,2023-11-24,12.5,24,51.5,-0.25
E09000013,2023-11-25,8.3,24,51.5,-0.25
E09000013,2023-11-26,8.4,24,51.5,-0.25
E09000013,2023-11-27,11.0,24,51.5,-0.25
E09000013,2023-11-28,10.4,24,51.5,-0.25
E09000013,2023-11-29,5.8,24,51.5,-0.25
E09000013,2023-11-30,9.5,24,51.5,-0.25
E09000013,2023-12-01,7.5,24,51.5,-0.25
E09000013,2023-12-02,5.9,24,51.5,-0.25
E09000013,2023-12-03,12.0,24,51.5,-0.25
E09000013,2023-12-04,13.4,24,51.5,-0.25
E09000013,2023-12-05,9.0,24,51.5,-0.25
E09000013,2023-12-06,7.9,24,51.5,-0.25
E09000013,2023-12-07,13.7,24,51.5,-0.25
E09000013,2023-12-08,10.3,24,51.5,-0.25
E09000013,2023-12-09,19.7,24,51.5,-0.25
E09000013,2023-12-10,18.5,24,51.5,-0.25
E09000013,2023-12-11,19.5,24,51.5,-0.25
E09000013,2023-12-12,10.0,24,51.5,-0.25
E09000013,2023-12-13,15.2,24,51.5,-0.25
E09000013,2023-12-14,8.4,24,51.5,-0.25
E09000013,2023-12-15,7.1,24,51.5,-0.25
E09000013,2023-12-16,11.1,24,51.5,-0.25
E09000013,2023-12-17,14.2,24,51.5,-0.25
E09000013,2023-12-18,12.0,24,51.5,-0.25
E09000013,2023-12-19,11.9,24,51.5,-0.25
E09000013,2023-12-20,13.6,24,51.5,-0.25
E09000013,2023-12-21,18.1,24,51.5,-0.25
E09000013,2023-12-22,17.1,24,51.5,-0.25
E09000013,2023-12-23,16.2,24,51.5,-0.25
E09000013,2023-12-24,18.6,24,51.5,-0.25
E09000013,2023-12-25,14.2,24,51.5,-0.25
E09000013,2023-12-26,12.1,24,51.5,-0.25
E09000013,2023-12-27,19.7,24,51.5,-0.25
E09000013,2023-12-28,21.1,24,51.5,-0.25
E09000013,2023-12-29,15.5,24,51.5,-0.25
E09000013,2023-12-30,21.2,24,51.5,-0.25
E09000013,2023-12-31,25.0,24,51.5,-0.25
E09000013,2024-01-01,15.7,24,51.5,-0.25
E09000013,2024-01-02,27.2,24,51.5,-0.25
E09000013,2024-01-03,13.1,24,51.5,-0.25
E09000013,2024-01-04,12.4,24,51.5,-0.25
E09000013,2024-01-05,15.9,24,51.5,-0.25
E09000013,2024-01-06,9.9,24,51.5,-0.25
E09000013,2024-01-07,12.7,24,51.5,-0.25
E09000013,2024-01-08,13.2,24,51.5,-0.25
E09000013,2024-01-09,15.2,24,51.5,-0.25
E09000013,2024-01-10,12.4,24,51.5,-0.25
E09000013,2024-01-11,11.8,24,51.5,-0.25
E09000013,2024-01-12,9.6,24,51.5,-0.25
E09000013,2024-01-13,5.5,24,51.5,-0.25
E09000013,2024-01-14,9.0,24,51.5,-0.25
E09000013,2024-01-15,10.1,24,51.5,-0.25
E09000013,2024-01-16,7.3,24,51.5,-0.25
E09000013,2024-01-17,9.6,24,51.5,-0.25
E09000013,2024-01-18,8.4,24,51.5,-0.25
E09000013,2024-01-19,6.7,24,51.5,-0.25
E09000013,2024-01-20,14.0,24,51.5,-0.25
E09000013,2024-01-21,28.3,24,51.5,-0.25
E09000013,2024-01-22,26.8,24,51.5,-0.25
E09000013,2024-01-23,20.8,24,51.5,-0.25
E09000013,2024-01-24,22.3,24,51.5,-0.25
E09000013,2024-01-25,14.1,24,51.5,-0.25
E09000013,2024-01-26,17.9,24,51.5,-0.25
E09000013,2024-01-27,9.4,24,51.5,-0.25
E09000013,2024-01-28,9.8,24,51.5,-0.25
E09000013,2024-01-29,12.4,24,51.5,-0.25
E09000013,2024-01-30,13.4,24,51.5,-0.25
E09000013,2024-01-31,14.0,24,51.5,-0.25
E09000013,2024-02-01,9.5,24,51.5,-0.25
E09000013,2024-02-02,14.6,24,51.5,-0.25
E09000013,2024-02-03,12.2,24,51.5,-0.25
E09000013,2024-02-04,15.9,24,51.5,-0.25
E09000013,2024-02-05,16.8,24,51.5,-0.25
E09000013,2024-02-06,19.6,24,51.5,-0.25
E09000013,2024-02-07,10.0,24,51.5,-0.25
E09000013,2024-02-08,14.9,24,51.5,-0.25
E09000013,2024-02-09,16.7,24,51.5,-0.25
E09000013,2024-02-10,6.8,24,51.5,-0.25
E09000013,2024-02-11,9.8,24,51.5,-0.25
E09000013,2024-02-12,8.6,24,51.5,-0.25
E09000013,2024-02-13,13.3,24,51.5,-0.25
E09000013,2024-02-14,12.5,24,51.5,-0.25
E09000013,2024-02-15,10.6,24,51.5,-0.25
E09000013,2024-02-16,11.6,24,51.5,-0.25
E09000013,2024-02-17,13.7,24,51.5,-0.25
E09000013,2024-02-18,13.1,24,51.5,-0.25
E09000013,2024-02-19,11.0,24,51.5,-0.25
E09000013,2024-02-20,14.3,24,51.5,-0.25
E09000013,2024-02-21,18.2,24,51.5,-0.25
E09000013,2024-02-22,16.3,24,51.5,-0.25
E09000013,2024-02-23,12.1,24,51.5,-0.25
E09000013,2024-02-24,6.1,24,51.5,-0.25
E09000013,2024-02-25,16.7,24,51.5,-0.25
E09000013,2024-02-26,21.2,24,51.5,-0.25
E09000013,2024-02-27,8.3,24,51.5,-0.25
E09000013,2024-02-28,11.5,24,51.5,-0.25
E09000013,2024-02-29,11.5,24,51.5,-0.25
E09000013,2024-03-01,19.0,24,51.5,-0.25
E09000013,2024-03-02,13.9,24,51.5,-0.25
E09000013,2024-03-03,5.4,24,51.5,-0.25
E09000013,2024-03-04,12.4,24,51.5,-0.25
E09000013,2024-03-05,8.9,24,51.5,-0.25
E09000013,2024-03-06,5.1,24,51.5,-0.25
E09000013,2024-03-07,13.1,24,51.5,-0.25
E09000013,2024-03-08,14.9,24,51.5,-0.25
E09000013,2024-03-09,13.8,24,51.5,-0.25
E09000013,2024-03-10,7.2,24,51.5,-0.25
E09000013,2024-03-11,10.0,24,51.5,-0.25
E09000013,2024-03-12,11.8,24,51.5,-0.25
E09000013,2024-03-13,15.9,24,51.5,-0.25
E09000013,2024-03-14,13.9,24,51.5,-0.25
E09000013,2024-03-15,15.4,24,51.5,-0.25
E09000013,2024-03-16,9.0,24,51.5,-0.25
E09000013,2024-03-17,9.8,24,51.5,-0.25
E09000013,2024-03-18,10.9,24,51.5,-0.25
E09000013,2024-03-19,13.2,24,51.5,-0.25
E09000013,2024-03-20,6.1,24,51.5,-0.25
E09000013,2024-03-21,10.2,24,51.5,-0.25
E09000013,2024-03-22,8.9,24,51.5,-0.25
E09000013,2024-03-23,17.5,24,51.5,-0.25
E09000013,2024-03-24,16.1,24,51.5,-0.25
E09000013,2024-03-25,12.1,24,51.5,-0.25
E09000013,2024-03-26,10.7,24,51.5,-0.25
E09000013,2024-03-27,18.7,24,51.5,-0.25
E09000013,2024-03-28,23.1,24,51.5,-0.25
E09000013,2024-03-29,16.3,24,51.5,-0.25
E09000013,2024-03-30,7.6,24,51.5,-0.25
E09000013,2024-03-31,12.3,24,51.5,-0.25
E09000014,2021-04-01,12.8,24,51.5,0.0
E09000014,2021-04-02,11.9,24,51.5,0.0
E09000014,2021-04-03,12.2,24,51.5,0.0
E09000014,2021-04-04,8.7,24,51.5,0.0
E09000014,2021-04-05,14.8,24,51.5,0.0
E09000014,2021-04-06,15.1,24,51.5,0.0
E09000014,2021-04-07,12.0,24,51.5,0.0
E09000014,2021-04-08,12.0,24,51.5,0.0
E09000014,2021-04-09,9.3,24,51.5,0.0
E09000014,2021-04-10,12.6,24,51.5,0.0
E09000014,2021-04-11,10.5,24,51.5,0.0
E09000014,2021-04-12,7.4,24,51.5,0.0
E09000014,2021-04-13,7.9,24,51.5,0.0
