date,LAD21CD,grid_truth,grid_loo
2021-09-11,E07000149,9.7,9.383213211547217
2021-09-11,E07000179,10.6,9.587259610951387
2021-09-11,E07000200,9.1,9.554118916084033
2021-09-11,E07000202,9.2,9.551583483950818
2021-09-11,E07000203,9.4,9.471126715153602
2021-09-11,E07000207,9.4,9.781627048367238
2021-09-11,E07000208,9.6,9.813292318208685
2021-09-11,E07000209,9.4,9.873468185629628
2021-09-11,E07000210,9.6,9.950252281762342
2021-09-11,E07000211,9.6,9.924362731538059
2021-09-11,E07000212,9.3,9.739853730541508
2021-09-11,E07000213,9.3,9.722812802657193
2021-09-11,E07000215,10.0,9.99029439534448
2021-09-11,E07000216,9.3,9.998632227223538
2021-09-11,E07000217,9.4,9.803621227466136
2021-09-11,E07000223,12.4,10.564118767489905
2021-09-11,E07000224,11.9,10.496077177586253
2021-09-11,E07000226,9.6,10.119906882833385
2021-09-11,E07000227,11.4,10.262117900551559
2021-09-11,E07000228,11.4,10.288341367249698
2021-09-11,E07000229,11.9,10.584528319044718
2021-09-11,E07000240,9.4,9.577638623766463
2021-09-11,E07000241,9.4,9.582083113633455
2021-09-11,E07000242,9.4,9.561545296358737
2021-09-11,E07000243,9.4,9.548397130235546
2021-09-11,E09000001,9.5,9.699547681962581
2021-09-11,E09000002,9.6,9.71249433130371
2021-09-11,E09000003,9.5,9.63318483272786
2021-09-11,E09000004,9.6,9.781468843629444
2021-09-11,E09000005,9.5,9.655786927270132
2021-09-11,E09000006,10.0,9.836843238489026
2021-09-11,E09000007,9.5,9.672645035753046
2021-09-11,E09000008,10.0,9.82250588445059
2021-09-11,E09000010,9.4,9.629427208867938
2021-09-11,E09000011,9.5,9.753995780605681
2021-09-11,E09000012,9.5,9.680260859718747
2021-09-11,E09000013,9.5,9.695623123191009
2021-09-11,E09000014,9.5,9.654316667996502
2021-09-11,E09000015,9.5,9.632766450150845
2021-09-11,E09000016,9.6,9.715037220717472
2021-09-11,E09000017,9.3,9.656736800677693
2021-09-11,E09000019,9.5,9.676752874936545
2021-09-11,E09000020,9.5,9.695320580265005
2021-09-11,E09000021,9.5,9.76662797012509
2021-09-11,E09000022,9.5,9.739082082516944
2021-09-11,E09000023,9.5,9.759612593889596
2021-09-11,E09000024,9.5,9.761191410744377
2021-09-11,E09000025,9.5,9.709586639328032
2021-09-11,E09000026,9.5,9.679253752711256
2021-09-11,E09000027,9.5,9.721273947701315
2021-09-11,E09000028,9.5,9.730900065201766
2021-09-11,E09000029,9.6,9.805437517214795
2021-09-11,E09000030,9.5,9.70600271018519
