target,candidate,bin,lower,upper,n,events,mean_probability,observed_frequency,sparse
any_gt100,M0,6,0.05316673843358698,0.053635451344280126,12619,653,0.053484031023569016,0.05174736508439654,False
any_gt100,M0,7,0.053635451344280126,0.05402274980457848,11974,604,0.053732680951621495,0.05044262568899282,False
any_gt100,M0,8,0.05402274980457848,0.05644272167215965,11799,662,0.054950099160278765,0.056106449699127044,False
any_gt100,M0,9,0.05644272167215965,0.06855426002054216,12001,690,0.060645546332345056,0.057495208732605614,False
any_gt100,M0,10,0.06855426002054216,0.6970165847504973,12203,1469,0.12030725692800433,0.12038023436859789,False
any_gt100,M0,11,0.6970165847504973,1.0,0,0,,,True
any_gt100,M1,0,0.0,0.0519149283271774,0,0,,,True
any_gt100,M1,1,0.0519149283271774,0.05203636402513215,12081,699,0.05198047553377187,0.057859448721132356,False
any_gt100,M1,2,0.05203636402513215,0.052479369977855725,11338,627,0.05236167658955249,0.05530075851120127,False
any_gt100,M1,3,0.052479369977855725,0.05254544691489899,12729,653,0.052521029508524546,0.05130018068976353,False
any_gt100,M1,4,0.05254544691489899,0.05295420946915771,11469,605,0.05268385027521955,0.05275089371348853,False
any_gt100,M1,5,0.05295420946915771,0.05316673843358698,12997,685,0.05308555409093116,0.05270447026236824,False
any_gt100,M1,6,0.05316673843358698,0.053635451344280126,7305,387,0.053351414723339284,0.05297741273100616,False
any_gt100,M1,7,0.053635451344280126,0.05402274980457848,17746,893,0.053725870218268794,0.05032119914346895,False
any_gt100,M1,8,0.05402274980457848,0.05644272167215965,11839,662,0.054948402962849266,0.05591688487203311,False
any_gt100,M1,9,0.05644272167215965,0.06855426002054216,11966,689,0.060655723694061144,0.057579809460137056,False
any_gt100,M1,10,0.06855426002054216,0.6970165847504973,12186,1469,0.12042782204009166,0.12054817003118333,False
any_gt100,M1,11,0.6970165847504973,1.0,0,0,,,True
any_gt100,M2,0,0.0,0.0519149283271774,0,0,,,True
any_gt100,M2,1,0.0519149283271774,0.05203636402513215,12325,715,0.05193294757075696,0.05801217038539554,False
any_gt100,M2,2,0.05203636402513215,0.052479369977855725,15171,820,0.0523846691152962,0.054050491068485924,False
any_gt100,M2,3,0.052479369977855725,0.05254544691489899,10412,545,0.05249836724897,0.052343449865539765,False
any_gt100,M2,4,0.05254544691489899,0.05295420946915771,12747,662,0.05278111072849712,0.05193378834235506,False
any_gt100,M2,5,0.05295420946915771,0.05316673843358698,10051,526,0.053023158585689435,0.0523331011839618,False
any_gt100,M2,6,0.05316673843358698,0.053635451344280126,16642,829,0.05349883074046814,0.049813724311981736,False
any_gt100,M2,7,0.053635451344280126,0.05402274980457848,6658,368,0.05379658071911584,0.05527185340943226,False
any_gt100,M2,8,0.05402274980457848,0.05644272167215965,13012,714,0.054944976631186616,0.054872425453427603,False
any_gt100,M2,9,0.05644272167215965,0.06855426002054216,12530,720,0.06055457035059621,0.05746209098164405,False
any_gt100,M2,10,0.06855426002054216,0.6970165847504973,12107,1469,0.12086342016626324,0.12133476501197654,False
any_gt100,M2,11,0.6970165847504973,1.0,1,1,0.6970165847504973,1.0,True
any_gt1000,M0,0,0.0,0.007080032993633063,0,0,,,True
any_gt1000,M0,1,0.007080032993633063,0.007089165490072607,0,0,,,True
any_gt1000,M0,2,0.007089165490072607,0.007251295988719739,21891,175,0.007101095339146887,0.007994152848202457,False
any_gt1000,M0,3,0.007251295988719739,0.007264530790410783,14895,114,0.007257363355009259,0.007653575025176234,False
any_gt1000,M0,4,0.007264530790410783,0.007328061847995933,3726,26,0.007284464303113244,0.006977992485238862,False
any_gt1000,M0,5,0.007328061847995933,0.007338566484320578,21760,148,0.007335384348961762,0.006801470588235294,False
any_gt1000,M0,6,0.007338566484320578,0.007350831275668515,14880,107,0.007340173981563518,0.007190860215053763,False
any_gt1000,M0,7,0.007350831275668515,0.007458726017850879,10508,70,0.00741699471530954,0.006661591168633422,False
any_gt1000,M0,8,0.007458726017850879,0.007467213049339937,11946,89,0.007459715317400422,0.007450192533065461,False
