scope,role,peak_lower,peak_upper,feature,n,zero_n,positive_n,zero_fraction,min,p05,p25,p50,p75,p95,max,correlation_with_G
fold_0,train,30.0,35.0,x,129,0,129,0.0,0.6043845068683171,0.7014579256223338,0.7583083198575218,0.8271262049244715,0.871873292269907,1.0242069107019678,1.2526947403481412,0.4319320247848074
fold_0,train,35.0,40.0,G,1,0,1,0.0,35.9,35.9,35.9,35.9,35.9,35.9,35.9,
fold_0,train,35.0,40.0,H,1,0,1,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,
fold_0,train,35.0,40.0,I,1,0,1,0.0,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,7690.5599999999995,
fold_0,train,35.0,40.0,h,1,0,1,0.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,
fold_0,train,35.0,40.0,J,1,0,1,0.0,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,1.7324826989619375,
fold_0,train,35.0,40.0,x,1,0,1,0.0,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,1.005210609470081,
fold_0,train,40.0,45.0,G,0,0,0,,,,,,,,,
fold_0,train,40.0,45.0,H,0,0,0,,,,,,,,,
fold_0,train,40.0,45.0,I,0,0,0,,,,,,,,,
fold_0,train,40.0,45.0,h,0,0,0,,,,,,,,,
fold_0,train,40.0,45.0,J,0,0,0,,,,,,,,,
fold_0,train,40.0,45.0,x,0,0,0,,,,,,,,,
fold_0,train,45.0,50.0,G,0,0,0,,,,,,,,,
fold_0,train,45.0,50.0,H,0,0,0,,,,,,,,,
fold_0,train,45.0,50.0,I,0,0,0,,,,,,,,,
fold_0,train,45.0,50.0,h,0,0,0,,,,,,,,,
fold_0,train,45.0,50.0,J,0,0,0,,,,,,,,,
fold_0,train,45.0,50.0,x,0,0,0,,,,,,,,,
fold_0,train,50.0,55.0,G,0,0,0,,,,,,,,,
fold_0,train,50.0,55.0,H,0,0,0,,,,,,,,,
fold_0,train,50.0,55.0,I,0,0,0,,,,,,,,,
fold_0,train,50.0,55.0,h,0,0,0,,,,,,,,,
fold_0,train,50.0,55.0,J,0,0,0,,,,,,,,,
fold_0,train,50.0,55.0,x,0,0,0,,,,,,,,,
fold_0,train,55.0,60.0,G,0,0,0,,,,,,,,,
fold_0,train,55.0,60.0,H,0,0,0,,,,,,,,,
fold_0,train,55.0,60.0,I,0,0,0,,,,,,,,,
fold_0,train,55.0,60.0,h,0,0,0,,,,,,,,,
fold_0,train,55.0,60.0,J,0,0,0,,,,,,,,,
fold_0,train,55.0,60.0,x,0,0,0,,,,,,,,,
fold_0,train,60.0,inf,G,0,0,0,,,,,,,,,
fold_0,train,60.0,inf,H,0,0,0,,,,,,,,,
fold_0,train,60.0,inf,I,0,0,0,,,,,,,,,
fold_0,train,60.0,inf,h,0,0,0,,,,,,,,,
fold_0,train,60.0,inf,J,0,0,0,,,,,,,,,
fold_0,train,60.0,inf,x,0,0,0,,,,,,,,,
fold_0,test,0.0,inf,G,25208,0,25208,0.0,2.4,5.7,8.5,10.9,13.9,19.664999999999782,35.9,1.0
fold_0,test,0.0,inf,H,25208,18432,6776,0.731196445572834,0.0,0.0,0.0,0.0,1.0,14.0,24.0,0.7919637396905418
fold_0,test,0.0,inf,I,25208,18432,6776,0.731196445572834,0.0,0.0,0.0,0.0,13.730000000000075,1296.9029999999964,8140.14,0.7004709635931623
fold_0,test,0.0,inf,h,25208,18432,6776,0.731196445572834,0.0,0.0,0.0,0.0,0.041666666666666664,0.5833333333333334,1.0,0.7919637396905419
fold_0,test,0.0,inf,J,25208,18432,6776,0.731196445572834,0.0,0.0,0.0,0.0,0.00309301110149944,0.29215843966262894,1.8337613538062285,0.7004709635931616
fold_0,test,0.0,inf,x,25208,18432,6776,0.731196445572834,0.0,0.0,0.0,0.0,0.0030882375831597125,0.256314017706818,1.0416049294680916,0.734967807106372
fold_0,test,0.0,5.0,G,589,0,589,0.0,2.4,3.4,3.8,4.3,4.7,4.9,4.9,1.0
fold_0,test,0.0,5.0,H,589,589,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,0.0,5.0,I,589,589,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,0.0,5.0,h,589,589,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,0.0,5.0,J,589,589,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,0.0,5.0,x,589,589,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,5.0,10.0,G,9507,0,9507,0.0,5.0,5.5,6.9,8.1,9.1,9.8,9.9,1.0
fold_0,test,5.0,10.0,H,9507,9507,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,5.0,10.0,I,9507,9507,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,5.0,10.0,h,9507,9507,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,5.0,10.0,J,9507,9507,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,5.0,10.0,x,9507,9507,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fold_0,test,10.0,15.0,G,10225,0,10225,0.0,10.0,10.1,11.0,12.0,13.3,14.6,14.9,1.0
fold_0,test,10.0,15.0,H,10225,8336,1889,0.8152567237163815,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.6116913984225559
fold_0,test,10.0,15.0,I,10225,8336,1889,0.8152567237163815,0.0,0.0,0.0,0.0,0.0,61.17600000000008,259.1600000000002,0.5674301560780571
fold_0,test,10.0,15.0,h,10225,8336,1889,0.8152567237163815,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.6666666666666666,0.6116913984225563
fold_0,test,10.0,15.0,J,10225,8336,1889,0.8152567237163815,0.0,0.0,0.0,0.0,0.0,0.013781358131487908,0.05838199250288355,0.5674301560780569
fold_0,test,10.0,15.0,x,10225,8336,1889,0.8152567237163815,0.0,0.0,0.0,0.0,0.0,0.01368725877290964,0.05674131978770662,0.5694862810067207
fold_0,test,15.0,20.0,G,3766,0,3766,0.0,15.0,15.1,15.7,16.7,18.1,19.5,19.9,1.0
fold_0,test,15.0,20.0,H,3766,0,3766,0.0,1.0,3.0,5.0,8.0,12.0,18.0,24.0,0.5474919058750752
fold_0,test,15.0,20.0,I,3766,0,3766,0.0,40.04000000000002,90.14500000000004,196.14000000000013,380.9250000000002,760.1775000000002,1598.7900000000004,3257.92,0.7744924104770302
fold_0,test,15.0,20.0,h,3766,0,3766,0.0,0.041666666666666664,0.125,0.20833333333333334,0.3333333333333333,0.5,0.75,1.0,0.5474919058750753
