feature,G_lower,G_upper,feature_lower,feature_upper,n
x,25.0,30.0,1.0,1.1,17
x,25.0,30.0,1.1,1.2000000000000002,0
x,25.0,30.0,1.2000000000000002,1.3,0
x,25.0,30.0,1.3,1.4000000000000001,0
x,30.0,35.0,0.0,0.1,0
x,30.0,35.0,0.1,0.2,0
x,30.0,35.0,0.2,0.30000000000000004,0
x,30.0,35.0,0.30000000000000004,0.4,0
x,30.0,35.0,0.4,0.5,0
x,30.0,35.0,0.5,0.6000000000000001,1
x,30.0,35.0,0.6000000000000001,0.7000000000000001,8
x,30.0,35.0,0.7000000000000001,0.8,47
x,30.0,35.0,0.8,0.9,76
x,30.0,35.0,0.9,1.0,17
x,30.0,35.0,1.0,1.1,4
x,30.0,35.0,1.1,1.2000000000000002,3
x,30.0,35.0,1.2000000000000002,1.3,1
x,30.0,35.0,1.3,1.4000000000000001,0
x,35.0,40.0,0.0,0.1,0
x,35.0,40.0,0.1,0.2,0
x,35.0,40.0,0.2,0.30000000000000004,0
x,35.0,40.0,0.30000000000000004,0.4,0
x,35.0,40.0,0.4,0.5,0
x,35.0,40.0,0.5,0.6000000000000001,0
x,35.0,40.0,0.6000000000000001,0.7000000000000001,0
x,35.0,40.0,0.7000000000000001,0.8,0
x,35.0,40.0,0.8,0.9,0
x,35.0,40.0,0.9,1.0,0
x,35.0,40.0,1.0,1.1,2
x,35.0,40.0,1.1,1.2000000000000002,0
x,35.0,40.0,1.2000000000000002,1.3,0
x,35.0,40.0,1.3,1.4000000000000001,0
