Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose,cubic_eta
FREP-74657-C,1,2023-05-07,E07000071,0.6931471805599453,2.062457258919842,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.127393498208564
FREP-74661-C,1,2023-05-07,E09000003,1.0986122886681098,1.9477578864658966,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.0031691109879213
FREP-74676-C,4,2023-05-08,E07000076,0.6931471805599453,1.838973968973382,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8043161981582672
FREP-74680-N,4,2023-11-24,E09000028,2.3978952727983707,1.4707580541484935,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.4092734883187137
FREP-74681-N,4,2023-10-20,E09000031,3.871201010907891,2.040236410507709,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9687988326049182
FREP-74682-V,2,2021-11-06,E09000029,2.4849066497880004,1.6804094255633188,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.7068617603481635
FREP-74687-N,1,2023-10-26,E09000032,2.4849066497880004,1.9158066307428787,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.851752428954945
FREP-74688-C,4,2023-05-09,E09000002,3.332204510175204,1.7256476599396382,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6729000457885785
FREP-74688-N,4,2024-02-14,E09000019,0.0,1.650150529121725,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6565219438776124
FREP-74693-N,3,2024-01-04,E09000033,0.0,2.003037098872377,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.0437248046773404
FREP-74695-N,4,2023-10-20,E09000024,1.0986122886681098,2.1980393419091007,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1375962470771466
FREP-74696-C,4,2023-05-09,E07000066,0.6931471805599453,1.9366650386871274,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8917786333677877
FREP-74703-N,3,2023-12-27,E09000007,0.0,2.11679160431095,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.2118643285475845
FREP-74705-N,4,2023-10-20,E09000023,0.6931471805599453,1.9334755699477584,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9075933732867631
FREP-74712-V,3,2021-11-07,E09000006,0.6931471805599453,1.6241561034004715,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.566428194823847
FREP-74715-C,0,2023-06-08,E07000098,0.0,2.118996949009908,2.1227930275801596,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,2.1125059799762904
FREP-74718-N,1,2023-10-21,E09000026,2.3978952727983707,1.918222631234056,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8996552697459408
FREP-74721-N,1,2023-10-21,E09000013,2.1972245773362196,1.877777343981386,2.1458232943956337,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8765790968405855
FREP-74725-V,3,2021-11-07,E07000226,1.3862943611198906,1.8517268162138254,2.1475198878506245,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.8985548231984832
FREP-74732-C,4,2023-05-09,E09000003,0.6931471805599453,1.9998264340009035,2.149097875272795,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.9847550825191282
FREP-74732-N,2,2023-11-10,E09000011,0.0,1.7200796820470132,2.1269940219027776,OOF_date_group_diagnostic,log1p_C,R04_B1_all_valid_v1,B1_formal_pending_R04,1.6633000113368217
