combination,model_id,prediction_type,n,k,sse,aic,bic,r2,adj_r2,rmse,n_columns,knots,component_action,source,predictions_saved,knots_mode
E0_weather,H09,year_holdout,9857,,,,,,,2.198370629506992,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H10,in_sample,9857,29,46104.819475441349,43237.699307016694,43446.381484124991,0.048925785054425242,0.046216171906432013,2.1627224312057791,29,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H10,LAD_OOF,9857,,,,,,,2.1747064286565401,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H10,random_OOF,7750,,,,,,,2.1896858667575816,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H10,year_holdout,9857,,,,,,,2.2062804715294226,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H11,in_sample,9857,126,45202.172999050854,43236.803473949869,44143.491553799715,0.067546046421325667,0.05556816704640688,2.1414467437554356,130,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H11,LAD_OOF,9857,,,,,,,2.8899943247835851,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H11,random_OOF,7750,,,,,,,2.1932507859268182,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H11,year_holdout,9857,,,,,,,2.2137882279701042,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H12,in_sample,9857,21,46414.202811840674,43287.623110332737,43438.737790307714,0.042543664548781224,0.040596823687758077,2.1699667012684891,21,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H12,LAD_OOF,9857,,,,,,,2.1748448619394241,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H12,random_OOF,7750,,,,,,,2.1896768887218898,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H12,year_holdout,9857,,,,,,,2.2160186517224578,,,REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
E0_weather,H13,in_sample,9857,26,46114.98923853942,43233.873316194586,43420.96768187789,0.048715997887601392,0.046296905216173356,2.162960943819872,26,[11.0],REUSE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/knots/one_knot,False,full_sample_selected
E0_weather,H13,LAD_OOF,9857,,,,,,,2.1742993432399964,,,REFIT,APP-C-COMPLETE,True,train_selected
E0_weather,H14,in_sample,9857,27,45968.835102411103,43204.583509545831,43398.873812370795,0.051730941484839255,0.049222803588461428,2.1595306430792327,27,"[11.0, 26.0]",REUSE,results/new/20260909183317/results/weather_only/weather_only_summary.json#E0/knots/two_knot,False,full_sample_selected
E0_weather,H14,LAD_OOF,9857,,,,,,,2.1717180856772988,,,REFIT,APP-C-COMPLETE,True,train_selected
E0_weather,F01,in_sample,9857,27,46118.14342173469,43236.547494396524,43430.837797221488,0.04865093175481161,0.046134647342362389,2.1630349138946574,27,[],REFIT,APP-C-COMPLETE,True,none_or_fixed10.8
