combination,model,term,coef,se_twoway,ci_lower,ci_upper,p_t_G1,df,variance,point_valid,interval_valid,reference
R0c_all,Gamma,urban_binary,0.16783961759728402,0.050738246111190155,0.067288322977839543,0.26839091221672851,0.0012704769574047748,110,0.0025743696184397031,True,True,t(G_LAD-1)
R0c_all,Gamma,log_population,-0.0030617196624340638,0.032670118661759215,-0.067806226589453386,0.061682787264585252,0.92550508078553184,110,0.0010673366533734277,True,True,t(G_LAD-1)
R0c_all,Gamma,income_deprivation_rate,-0.10997323157573008,0.59268575123049028,-1.2845372765788594,1.0645908134273994,0.85313886420184137,110,0.35127639971165064,True,True,t(G_LAD-1)
R0c_all,Gamma,deprivation_gap_pct,0.3641034044617974,0.42655854286274164,-0.48123550658055719,1.209442315504152,0.39519067823050175,110,0.1819521904891854,True,True,t(G_LAD-1)
R0c_all,Gamma,morans_i,0.28378659092249464,0.12517506793453742,0.03571898710126728,0.53185419474372198,0.025337641557923944,110,0.015668797632416055,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_year[2022],0.085168220109014314,0.025402502644624098,0.034826422288622517,0.13551001792940612,0.0010978665564734618,110,0.00064528714061013424,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_year[2023],-0.013652987543106947,0.025521123244625202,-0.064229863550326644,0.03692388846411275,0.59375168614505724,110,0.00065132773166734872,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_year[2024],-0.18134068141101359,0.06751548636260056,-0.315140528290697,-0.047540834531330178,0.0083543137820617907,110,0.0045583408987785023,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[2],0.59711754971530973,0.13452206973690792,0.33052638223011582,0.86370871720050357,2.1593740901773135e-05,110,0.018096187246301514,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[3],-0.024279209494658487,0.044834271140280484,-0.1131302114901757,0.064571792500858718,0.58923584465444634,110,0.0020101118686801874,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[4],-0.13026878256023902,0.046824462053470593,-0.22306387581233172,-0.037473689308146332,0.0063577503476252512,110,0.0021925302465969077,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[5],-0.15095447424744746,0.051983393865073876,-0.25397335945666377,-0.047935589038231113,0.0044549378629804431,110,0.0027022732377314004,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[6],-0.039532572549440502,0.058285611056826801,-0.15504097298973057,0.075975827890849557,0.49903365266515554,110,0.0033972124562676909,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[7],-0.10384854133121665,0.056512105431234902,-0.21584226989504224,0.0081451872326089303,0.068815331070989097,110,0.0031936180602710096,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[8],-0.070427592555527094,0.057569958285234195,-0.18451773717901312,0.043662552067958937,0.22381576970685921,110,0.0033143000969636052,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[9],-0.080281368946405904,0.055992263484326635,-0.19124489278765258,0.030682154894840774,0.15446755880480159,110,0.0031351335700982577,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[10],-0.12807916424776961,0.055306079993772461,-0.23768283347026362,-0.018475495025275596,0.022421822213082365,110,0.0030587624842775586,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[11],-0.11669954174030323,0.050618160046380312,-0.21701285396563966,-0.016386229514966794,0.023014652540654365,110,0.0025621981264809723,True,True,t(G_LAD-1)
R0c_all,Gamma,incident_month[12],-0.050167309472273353,0.0465150489063497,-0.14234921849156654,0.042014599547019832,0.28316207706305141,110,0.0021636497747601043,True,True,t(G_LAD-1)
R0c_all,Gamma,z_customers_v2_log1p,-0.1474694857254569,0.01449259192389063,-0.17619040124833535,-0.11874857020257845,1.5436363687769884e-17,110,0.00021003522067241992,True,True,t(G_LAD-1)
R0c_all,Gamma,z_cust_sq,-0.070527230366709298,0.013987789003607974,-0.098247744987852548,-0.042806715745566049,1.8268369151631546e-06,110,0.00019565824120945614,True,True,t(G_LAD-1)
R0c_all,Gamma,z_temperature_sq,0.011321339642713481,0.0056883549714785943,4.8355247792123551e-05,0.022594324037634839,0.049042195252360338,110,3.2357382281545234e-05,True,True,t(G_LAD-1)
