combination,model_id,term,coef
R0c_weather,hinge,deprivation_gap_pct,1.3291223115124093
R0c_weather,hinge,morans_i,0.085724972047613993
R0c_weather,hinge,incident_year[2022],0.28827873319061381
R0c_weather,hinge,incident_year[2023],0.083994539358820564
R0c_weather,hinge,incident_year[2024],-0.19843896856917648
R0c_weather,hinge,incident_month[2],0.76349056288654771
R0c_weather,hinge,incident_month[3],-0.35534706887567902
R0c_weather,hinge,incident_month[4],-0.34073963828068837
R0c_weather,hinge,incident_month[5],-0.30880778422560334
R0c_weather,hinge,incident_month[6],0.036825199480657343
R0c_weather,hinge,incident_month[7],0.050121998290262253
R0c_weather,hinge,incident_month[8],-0.0026166396711443142
R0c_weather,hinge,incident_month[9],-0.13065677427696001
R0c_weather,hinge,incident_month[10],-0.20113161833708504
