Intercept,z_gust_0h,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_sq,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],grid_index,gust
0,-0.074765906206795074,0,0,0,0.0055899407309232783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,13.842809364548495
0,-0.056615630940413122,0,0,0,0.0032053296667810638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,13.974916387959865
0,-0.038465355674030928,0,0,0,0.0014795835871297034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,14.107023411371237
0,-0.020315080407648976,0,0,0,0.00041270249196924332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,14.239130434782608
0,-0.0021648051412667801,0,0,0,4.686381299655084e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,14.371237458193979
0,0.015985470125115416,0,0,0,0.00025553525512095749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,14.503344481605351
0,0.034135745391497364,0,0,0,0.0011652491134331335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,14.635451505016722
0,0.052286020657879559,0,0,0,0.0027338279562362081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,14.767558528428093
0,0.070436295924261511,0,0,0,0.0049612717835301389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,14.899665551839464
0,0.088586571190643712,0,0,0,0.0078475805953149864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,15.031772575250836
0,0.1067368464570259,0,0,0,0.011392754391590723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,15.163879598662207
0,0.12488712172340785,0,0,0,0.015596793172357289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,15.295986622073578
0,0.14303739698979004,0,0,0,0.020459696937614798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,15.42809364548495
0,0.161187672256172,0,0,0,0.025981465687363123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,15.56020066889632
0,0.17933794752255419,0,0,0,0.032162099421602398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,15.692307692307692
0,0.19748822278893638,0,0,0,0.03900159814033257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,15.824414715719064
0,0.21563849805531835,0,0,0,0.046499961843553532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,15.956521739130434
0,0.23378877332170053,0,0,0,0.054657190531265477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,16.088628762541806
0,0.25193904858808275,0,0,0,0.063473284203468316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,16.220735785953178
0,0.27008932385446444,0,0,0,0.072948242860161772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,16.352842809364546
0,0.28823959912084662,0,0,0,0.083082066501346363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,16.484949832775918
0,0.30638987438722881,0,0,0,0.093874755127021856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,16.61705685618729
0,0.324540149653611,0,0,0,0.10532630873718822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,16.749163879598662
0,0.34269042491999324,0,0,0,0.11743672733184553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,16.881270903010034
0,0.36084070018637543,0,0,0,0.13020601091099368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,17.013377926421406
