combination,model_id,prediction_type,bin,left,right,first_includes_minimum,n,mean_prediction,mean_observed,bias,requested_quantiles,actual_bins,rule
E0_weather,paper,LAD_OOF,5,3.3571410114586095,3.4865408332794097,False,985,3.4220536256043395,3.4729614555457706,-0.050907829941431594,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,6,3.4865408332794097,3.6282717642512923,False,986,3.5562306004022228,3.5994822851113937,-0.043251684709170353,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,7,3.6282717642512923,3.7955899895658161,False,985,3.7097289887059119,3.6943431574075869,0.015385831298325693,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,8,3.7955899895658161,4.0062533460258356,False,986,3.8942861616319084,3.8391031335817178,0.055183028050190791,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,paper,LAD_OOF,9,4.0062533460258356,5.2220900621973696,False,986,4.2192754153093839,4.0563873019783729,0.16288811333101194,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,0,1.8924443479539015,2.6700801787880213,True,986,2.4858911329515152,2.5729469677372405,-0.08705583478572515,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,1,2.6700801787880213,2.8873746834017293,False,986,2.7858294227412155,2.764855686369367,0.020973736371847858,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,2,2.8873746834017293,3.0666131082798569,False,985,2.9801003268397319,2.9542778857983438,0.025822441041387999,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,3,3.0666131082798569,3.2179358743083397,False,986,3.1414913584622672,3.0492849041699293,0.092206454292337439,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,4,3.2179358743083397,3.3759523177262727,False,986,3.2963268918597075,3.2320368768049161,0.064290015054791136,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,5,3.3759523177262727,3.5320117620522531,False,985,3.455582219127217,3.4268659213932957,0.028716297733921425,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,6,3.5320117620522531,3.6762100450364401,False,986,3.6032903219535455,3.6130275619732686,-0.0097372400197233144,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,7,3.6762100450364401,3.8143184087549842,False,985,3.7449059269801355,3.854296283265906,-0.10939035628577065,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,8,3.8143184087549842,4.0017367723792807,False,986,3.9016530493932384,3.9492712150741922,-0.047618165680953478,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,in_sample,9,4.0017367723792807,4.9303520046535496,False,986,4.1679517931372434,4.1462147713031081,0.021737021834133688,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,0,1.8424634472347616,2.6604053737514244,True,986,2.4649087653823289,2.6368990658812623,-0.1719903004989328,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,1,2.6604053737514244,2.8838689520173642,False,986,2.7788723100214967,2.7623031296988847,0.016569180322611777,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,2,2.8838689520173642,3.0751862584970757,False,985,2.9834861400732398,3.0371570843134537,-0.053670944240214333,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
E0_weather,hinge,LAD_OOF,3,3.0751862584970757,3.2277098406017353,False,986,3.1520976860020409,3.101920979023074,0.050176706978967187,10,10,qcut per prediction series; duplicates=drop; first includes minimum; no label-based adjustment
