model,term,coef,se_lad,se_twoway,se_ratio,ci_lad_lower,ci_lad_upper,ci_twoway_lower,ci_twoway_upper,p_lad_t_G1,p_twoway_t_G1,df
R0c_weather_final,deprivation_gap_pct,1.3488223724646393,0.5629412339061417,0.51797684216266104,0.92012595803032349,0.23236120764406065,2.465283537285218,0.3215374735804537,2.3761072713488249,0.018378260961943241,0.010574724593235493,103
R0c_weather_final,morans_i,0.1131095276321233,0.27170748497272118,0.24904286478893625,0.91658448354464583,-0.42575818518084746,0.65197724044509409,-0.38080825661543799,0.60702731187968462,0.6780628525863448,0.65065710545899924,103
R0c_weather_final,incident_year[2022],0.25916142459347891,0.03327282361296837,0.047163772153870707,1.4174863156335256,0.19317262652650713,0.32515022266045068,0.16562320634844235,0.35269964283851546,5.5610233987549381e-12,2.8427492106193066e-07,103
R0c_weather_final,incident_year[2023],0.10757109903365869,0.040489544866495503,0.049967350009808419,1.2340803082515175,0.027269636461741978,0.18787256160557542,0.0084726453498600307,0.20666955271745735,0.0091455980346899016,0.03366674936841077,103
R0c_weather_final,incident_year[2024],-0.1539546282416504,0.088166991160792976,0.1485655404849989,1.6850471874905557,-0.32881306056340942,0.020903804080108584,-0.44859933783443812,0.14069008135113731,0.083762744309562029,0.30250104435584735,103
R0c_weather_final,incident_month[2],0.75897922364617243,0.075169667759928879,0.16553635724670199,2.2021696008472369,0.60989791680337224,0.90806053048897262,0.4306769016623786,1.0872815456299663,4.5039225884695036e-17,1.2807763815673656e-05,103
R0c_weather_final,incident_month[3],-0.35055517439341266,0.085087435295111369,0.13255311422234559,1.557845923579757,-0.51930603398493858,-0.18180431480188677,-0.61344301310865124,-0.087667335678174141,7.6736257317321901e-05,0.0094576650575380374,103
R0c_weather_final,incident_month[4],-0.30657539030549236,0.094299997952258172,0.14073847964309405,1.4924547476061087,-0.49359719509641636,-0.11955358551456835,-0.58569697077156979,-0.027453809839414867,0.00155417151478691,0.031662089161222311,103
R0c_weather_final,incident_month[5],-0.21218619045011836,0.10226614522894148,0.15760785071674502,1.5411537255453505,-0.4150069695068731,-0.0093654113933636096,-0.52476418971144634,0.1003918088112096,0.040493511281816254,0.18116376718140431,103
R0c_weather_final,incident_month[6],0.14378892457447365,0.10026920204865852,0.16739564074348923,1.6694621810419481,-0.055071388673676031,0.34264923782262335,-0.18820084770346732,0.47577869685241458,0.15459301338722142,0.39234813922833706,103
R0c_weather_final,incident_month[7],0.099068269510048795,0.099302581570746382,0.16336793449482107,1.6451529447744764,-0.097874980002653961,0.29601151902275158,-0.2249334973792286,0.42307003639932617,0.3207917438333136,0.54557545818869158,103
R0c_weather_final,incident_month[8],0.11435562822715216,0.097070532863491155,0.16717052721908918,1.7221552441066601,-0.07816087911506335,0.30687213556936765,-0.21718768446934261,0.44589894092364696,0.24148441353704425,0.49546986013422284,103
R0c_weather_final,incident_month[9],0.0046855275043195524,0.10906777820326481,0.17053062022732302,1.5635288720149099,-0.21162468635631951,0.22099574136495861,-0.33352173717850936,0.34289279218714847,0.96581676771365654,0.97813311538998049,103
R0c_weather_final,incident_month[10],-0.072800062239280358,0.10868245740763399,0.16759154310801105,1.5420293863933114,-0.28834608318170923,0.14274595870314849,-0.40517836065265384,0.25957823617409309,0.50445751397303762,0.66491402824520274,103
R0c_weather_final,incident_month[11],-0.25999344472034208,0.10165253700057665,0.14763607876720827,1.4523600012695284,-0.46159727657884286,-0.058389612861841272,-0.55279478621429612,0.0328078967736119,0.011993884868423055,0.081198913943214268,103
R0c_weather_final,incident_month[12],-0.29622605427569471,0.090993090248336198,0.13869542566312312,1.5242412944169588,-0.47668938758735513,-0.11576272096403425,-0.57129571903745913,-0.021156389513930285,0.0015324545262396154,0.035065350193694007,103
R0c_weather_final,z_customers_v2_log1p,-0.29481116590424716,0.019174818043152474,0.030600464164982657,1.5958672513145646,-0.33283989501178662,-0.2567824367967077,-0.3554999692960823,-0.23412236251241203,2.0020246796907318e-28,4.8174547727595642e-16,103
R0c_weather_final,z_cust_sq,0.092285779614320829,0.024900359218497207,0.027616435393099013,1.1090777908370162,0.042901789984296106,0.14166976924434554,0.037515093492734894,0.14705646573590675,0.00034068391967178436,0.0011611395387188955,103
R0c_weather_final,gust_hinge_11,0.069594687799961169,0.0079329687029212632,0.018529330079340909,2.3357371966584974,0.053861515409847432,0.085327860190074906,0.032846131826932037,0.1063432437729903,3.9152106099252821e-14,0.00028635667962990236,103
