path,task,model,split,train_n,test_n,model_sha256,fit_ids_sha256,model_path,fit_ids_path
development,R_C_log,B00,P3,2873,509,9e01e9fb619e513c801856475bf194089ededbf7cff2a4eec0c42267ec8fa384,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B00\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B00\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,B00,P4_P5,3380,1070,2d56ce5d8e331bbfa8966c3429185866670f47bb2f0c20a6095263b058268c36,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\B00.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\B00.fit_ids.parquet
development,R_C_log,B01,P1,3110,270,7e6dfa406500d45a7907ccf1824e6f01771d19de0f827354f665dce53084bb53,d6acd8f77edb4e700774342ac1be84d4ab4314cf3cd650f1f0808d8028100e35,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B01\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B01\holdout_P1.fit_ids.parquet
development,R_C_log,B01,P2,777,2603,d31da305bef80e311e39df23427fc3a6b61e0f68e90cd9627f3787cebff8d0fd,7f32efde1fa23308093c08eb34a3846186882410928d6ba7d1c5cdfbd19c8326,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B01\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B01\holdout_P2.fit_ids.parquet
development,R_C_log,B01,P3,2873,509,7a1d017b68e65ed9ff3f37df5af92f4b82ba8be9a662bafbeb1c7cd25ab9e62e,c8de87caca536cd0a1f9b62e41d54bbae5abe0a8e13dae7513771731d8df4a58,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B01\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\B01\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,B01,P4_P5,3380,1070,f4a208d453080ac0df75eee45ab7ad3efd93ba40bbeb1dfd4b7e94ffbfd3bdfa,706ab41fd7567b7aaa1e7c82307d1b6807ff4a1e70622ca7aa108686f2fd2b03,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\B01.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\B01.fit_ids.parquet
development,R_C_log,G02,P1,49564,270,a8261597311ed863e422f7b558953e9b16267336d4a75bdba76e46d81085e706,439960f59b38623dc32c263fc59c19086439369608e9397cbc0a436fca2bbf22,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G02\holdout_P1.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G02\holdout_P1.fit_ids.parquet
development,R_C_log,G02,P2,47038,2603,19af414b6b8db0bab67fadfce8e3c6a4acfd37b65d1e19467d8b402d20d4f885,bfb48f404fdb923e55754a5c7dc41c1395505aad42237fb5fbe321e4c99728e9,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G02\holdout_P2.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G02\holdout_P2.fit_ids.parquet
development,R_C_log,G02,P3,49285,509,ea365fe3fc76623c0736be56fb4ec5b6df9c8456e3fb9ca168cdd1b4ef7553b3,b65db192d8515a6dfeb8c36319d653cee3d65a6c6a8c32e8d2a7255e576eb99c,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G02\holdout_P3.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\development\R_C_log\G02\holdout_P3.fit_ids.parquet
time_frozen,R_C_log,G02,P4_P5,50021,1070,e595bf04de521ecd17f757c184c74c299ffc4419115f27c1a2d94c542077921e,68140a23876415086894df3e85b2b0dbefe173d09cef011e3935872a52896942,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\G02.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\time_frozen\R_C_log\G02.fit_ids.parquet
