task,model,config,folds,macro_mse,pooled_sse,pooled_n,pooled_mse
R_C_log,P02,"{""lambda"":0.1}",3,3.156084985736286,16616.209753417483,3382,4.913131210354075
R_C_log,P02,"{""lambda"":0}",3,2.969184614560849,15070.568124484114,3382,4.456111213626291
R_C_log,S01,"{""lambda"":0.001}",3,11.1322515510316,55030.40124998935,3382,16.271555662326833
R_C_log,S01,"{""lambda"":0.1}",3,7.532569133647873,22996.62829774507,3382,6.799712684135147
R_C_log,S01,"{""lambda"":0}",3,98342.42359617248,150256125.43122733,3382,44428.18611213109
R_C_log,S02,"{""lambda"":0.001}",3,10.685076436539175,51616.850143309224,3382,15.262226535573395
R_C_log,S02,"{""lambda"":0.1}",3,7.484183527610973,23237.33391787341,3382,6.870885250701777
R_C_log,S02,"{""lambda"":0}",3,106561.21683172706,162794622.19662976,3382,48135.60679971312
R_C_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":3}",3,10.955232189068367,53047.707978723054,3382,15.685306912691619
R_C_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":5}",3,10.609294698110832,52072.380105826254,3382,15.396919014141412
R_C_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":3}",3,12.957676851927156,62871.725634787064,3382,18.59010219834035
R_C_log,S03,"{""control_lambda"":0.001,""difference_penalty"":1,""n_knots"":5}",3,10.29832886546199,47539.710389447275,3382,14.056685508411377
R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",3,6.294330069421093,20540.9184933404,3382,6.073600973784861
R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",3,6.038298928055134,18024.42946737716,3382,5.329517879177161
R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":3}",3,6.5321473275725594,20908.031440066363,3382,6.182150041415246
R_C_log,S03,"{""control_lambda"":0.1,""difference_penalty"":1,""n_knots"":5}",3,6.4418358207294055,19966.938730698814,3382,5.903884899674398
R_C_log,S04,"{""control_lambda"":0.001}",3,33.63943383941904,233726.69176910864,3382,69.10901589861284
R_C_log,S04,"{""control_lambda"":0.1}",3,6.770590675935529,22086.441012539668,3382,6.530585751785828
R_C_log,S05,"{""max_leaf_nodes"":15,""min_samples_leaf"":20}",3,2.5574007348401318,14582.96165456473,3382,4.311934256228483
