task,comparison,episode,mse_difference,range_min,range_max
R_C_log,S04-S02,DELETE_P3,-0.10912262269445105,,
R_C_log,S04-S02,DELETE_P4,-0.09058968148250657,,
R_C_log,S04-S02,DELETE_P5,-0.10306020225453638,,
R_C_log,S05-S02,P1,-0.7615671914108217,,
R_C_log,S05-S02,P2,1.2799949479293895,,
R_C_log,S05-S02,P3,-0.5304917203240433,,
R_C_log,S05-S02,P4,-0.6846006309572108,,
R_C_log,S05-S02,P5,-0.4851428021875437,,
R_C_log,S05-S02,MACRO,-0.236361479390046,-0.7615671914108217,1.2799949479293895
R_C_log,S05-S02,DELETE_P1,-0.10506005138485208,,
R_C_log,S05-S02,DELETE_P2,-0.6154505862199049,,
R_C_log,S05-S02,DELETE_P3,-0.16282891915654668,,
R_C_log,S05-S02,DELETE_P4,-0.12430169149825482,,
R_C_log,S05-S02,DELETE_P5,-0.1741661486906716,,
R_C_log,S05-G05,P1,0.007344838709103296,,
R_C_log,S05-G05,P2,1.1332523825277043,,
R_C_log,S05-G05,P3,0.06129752282765466,,
R_C_log,S05-G05,P4,0.18592399005885651,,
R_C_log,S05-G05,P5,0.051350914778927725,,
R_C_log,S05-G05,MACRO,0.2878339297804493,0.007344838709103296,1.1332523825277043
R_C_log,S05-G05,DELETE_P1,0.3579562025482858,,
