task,model,config,validation_group,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
R_log,S02,"{""lambda"":0.001}",P2,777,2603,ok,2603,19.53058646739914,4.419342311634067,4.108461988606609,-5.360276293113834,2.9275269962016206,-1.1303354833939687,4.05786247959559,0.1268811707623488,0.07162167946044645,0.11220879637045603,3.5655769541898312,0.5644783936821912,50838.116574639964,42861.64329231508,7976.4732823249105
R_log,S02,"{""lambda"":0.001}",P3,2873,509,ok,509,7.2507753770857715,2.692726383627897,2.388408048216245,-4.242590948550938,1.780364889623482,-0.5569762527167512,2.3373411423402333,0.45535525768066176,-0.09351381069716806,-0.12007692087074588,1.665981732778724,-0.205364512915647,3690.644666936658,2780.7502803792604,909.8943865573974
R_log,S02,"{""lambda"":0.1}",P1,3110,270,ok,270,2.1936541722533875,1.481098974496096,1.1928790579105573,-0.8799458051197788,1.7064488001878504,2.6629745106144993,-0.9565257104266487,0.33299776953394716,0.022582614378426593,-0.0061024128925557496,1.5258562197722152,0.06781611303292659,592.2866265084147,247.03418737094535,345.2524391374694
R_log,S02,"{""lambda"":0.1}",P2,777,2603,ok,2603,5.857090191291604,2.4201425973052917,2.1222879814089337,-0.9074036487580421,2.9275269962016206,1.3154690802683617,1.6120579159332589,0.16709881955559236,-0.09930123043358725,-0.08123751695814908,3.7092662006759465,-0.5942664986963034,15246.005767932045,6764.496075412982,8481.509692519065
R_log,S02,"{""lambda"":0.1}",P3,2873,509,ok,509,11.55296500329366,3.3989652842142504,3.1775723604980843,-7.353240392275998,1.780364889623482,4.936084195443746,-3.155719305820264,0.31999131360752114,-0.07878165147540307,-0.09629503093745363,2.995625580154784,-0.2461993439360392,5880.459186676473,5068.909247597505,811.549939078968
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":3}",P1,3110,270,ok,270,7.387755951833706,2.718042669244489,2.474948109427969,-5.331253570671847,1.7064488001878504,-0.7547099281187073,2.4611587283065584,0.4294069838345084,0.051467678557741335,0.041775149512741507,1.7969064998691384,0.11985757217580956,1994.6941069951008,1635.47161719828,359.2224897968215
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":3}",P2,777,2603,ok,2603,20.08196473332796,4.481290520969151,4.160141409648866,-5.539836600694925,2.9275269962016206,-1.1853801323930204,4.112907128594641,0.1530054967746407,-0.024858306313746165,0.00814819565699332,2.7349421345436404,-0.1624667534027196,52273.35420085268,44032.36114110132,8240.99305975135
R_log,S03,"{""control_lambda"":0.001,""difference_penalty"":0.01,""n_knots"":3}",P3,2873,509,ok,509,10.15817274516796,3.1871888468002583,2.878288896795465,-6.34475166006848,1.780364889623482,-1.0699199992341064,2.8502848888575887,0.5584342576664494,-0.1422254318199184,-0.17214402499441278,1.5078711594936087,-0.2546860796367352,5170.509927290492,4135.179089353807,1035.330837936686
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",P1,3110,270,ok,270,2.1025362634768427,1.4500125045932681,1.1602448003632988,-0.8018584144351335,1.7064488001878504,2.6061661005854435,-0.899717300397593,0.33985074847026314,0.010840427623027657,-0.01916849396313024,1.6233183227233972,0.031897612913382195,567.6847911387475,218.5626295713778,349.12216156736974
R_log,S03,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":3}",P2,777,2603,ok,2603,5.416039014257981,2.3272384953540928,2.0388807222334457,-0.7637721531027828,2.9275269962016206,1.4379662904068071,1.4895607057948137,0.13451366568779244,-0.08591286758244451,-0.06449414781714452,3.8459452614690033,-0.6386924863221642,14097.949554113524,5775.513223533397,8322.436330580127
