target,candidate,fold,n,valid,brier,brier_a01,absolute_gain,relative_gain,constant_brier
wthr_gt100,A04_top3_mean,0,25208,True,0.018599132378703344,0.01856155494724961,-3.7577431453734295e-05,-0.002024476481659334,0.019556034101928885
wthr_gt100,A04_top3_mean,1,24112,True,0.020268516952172792,0.020231905110704048,-3.661184146874427e-05,-0.001809609192432112,0.02170124017741864
wthr_gt100,A04_top3_mean,2,24112,True,0.01944501330429937,0.0193937191541714,-5.1294150127969423e-05,-0.002644884651582497,0.02030682812128577
wthr_gt100,A04_top3_mean,3,24112,True,0.0172601409921507,0.017259062412589985,-1.0785795607134996e-06,-6.24935199218416e-05,0.017683734390584273
wthr_gt100,A04_top3_mean,4,24112,True,0.01951577117221481,0.01950011115777466,-1.5660014440151138e-05,-0.0008030730857607198,0.02030682812128577
wthr_gt100,A05_max_rolling3h_mean,0,25208,True,0.01860654341635555,0.01856155494724961,-4.498846910594087e-05,-0.0024237446288198562,0.019556034101928885
wthr_gt100,A05_max_rolling3h_mean,1,24112,True,0.02026209570650957,0.020231905110704048,-3.0190595805522358e-05,-0.0014922270364716907,0.02170124017741864
wthr_gt100,A05_max_rolling3h_mean,2,24112,True,0.01944126903290548,0.0193937191541714,-4.7549878734079454e-05,-0.002451818465353611,0.02030682812128577
wthr_gt100,A05_max_rolling3h_mean,3,24112,True,0.01725413128081442,0.017259062412589985,4.931131775565839e-06,0.00028571261043524134,0.017683734390584273
wthr_gt100,A05_max_rolling3h_mean,4,24112,True,0.019519341522825435,0.01950011115777466,-1.9230365050776355e-05,-0.000986166945161707,0.02030682812128577
wthr_gt1000,A01_daily_max,0,25208,True,0.002875710916134191,0.002875710916134191,0.0,0.0,0.0029666621511327145
wthr_gt1000,A01_daily_max,1,24112,True,0.002465544098893692,0.002465544098893692,0.0,0.0,0.002605983754766076
wthr_gt1000,A01_daily_max,2,24112,True,0.002190360809544579,0.002190360809544579,0.0,0.0,0.0022346975521358946
wthr_gt1000,A01_daily_max,3,24112,True,0.0022260193103852146,0.0022260193103852146,0.0,0.0,0.0022759439310815386
wthr_gt1000,A01_daily_max,4,24112,True,0.0025984279184388392,0.0025984279184388392,0.0,0.0,0.002688512819609265
wthr_gt1000,A02_daily_mean,0,25208,True,0.002910281572205492,0.002875710916134191,-3.4570656071300845e-05,-0.012021603380695188,0.0029666621511327145
wthr_gt1000,A02_daily_mean,1,24112,True,0.0025342020490168654,0.002465544098893692,-6.865795012317346e-05,-0.0278469771252442,0.002605983754766076
wthr_gt1000,A02_daily_mean,2,24112,True,0.002212745063096389,0.002190360809544579,-2.238425355181005e-05,-0.010219436658229926,0.0022346975521358946
wthr_gt1000,A02_daily_mean,3,24112,True,0.0022681360046393297,0.0022260193103852146,-4.211669425411516e-05,-0.018920183691859722,0.0022759439310815386
wthr_gt1000,A02_daily_mean,4,24112,True,0.0026442411568867383,0.0025984279184388392,-4.581323844789903e-05,-0.017631136935837753,0.002688512819609265
wthr_gt1000,A03_daily_q90,0,25208,True,0.0028882670730556743,0.002875710916134191,-1.2556156921483125e-05,-0.004366279256735001,0.0029666621511327145
wthr_gt1000,A03_daily_q90,1,24112,True,0.0024960531341904446,0.002465544098893692,-3.050903529675268e-05,-0.012374159241541172,0.002605983754766076
wthr_gt1000,A03_daily_q90,2,24112,True,0.0021888974404349554,0.002190360809544579,1.4633691096236669e-06,0.0006680950020868622,0.0022346975521358946
wthr_gt1000,A03_daily_q90,3,24112,True,0.002220690324268609,0.0022260193103852146,5.3289861166056635e-06,0.00239395322931115,0.0022759439310815386
wthr_gt1000,A03_daily_q90,4,24112,True,0.0026141606748660102,0.0025984279184388392,-1.5732756427170973e-05,-0.006054721131777004,0.002688512819609265
wthr_gt1000,A04_top3_mean,0,25208,True,0.002875010542746678,0.002875710916134191,7.003733875133623e-07,0.00024354791143432178,0.0029666621511327145
wthr_gt1000,A04_top3_mean,1,24112,True,0.002467013365633436,0.002465544098893692,-1.4692667397440441e-06,-0.0005959198784573819,0.002605983754766076
wthr_gt1000,A04_top3_mean,2,24112,True,0.0021868940857752654,0.002190360809544579,3.4667237693137253e-06,0.0015827181321941787,0.0022346975521358946
