target,candidate,kind,aggregate,probability,n,events
any_gt0,A01_daily_max,fit,31.7125,0.7216433864308099,0,0
any_gt0,A01_daily_max,fit,31.88,0.7250285357846249,0,0
any_gt0,A01_daily_max,fit,32.0475,0.7283854853643879,0,0
any_gt0,A01_daily_max,fit,32.215,0.7317140758873297,0,0
any_gt0,A01_daily_max,fit,32.3825,0.7350141629429461,0,0
any_gt0,A01_daily_max,fit,32.550000000000004,0.7382856166071452,0,0
any_gt0,A01_daily_max,fit,32.7175,0.7415283210591748,0,0
any_gt0,A01_daily_max,fit,32.885000000000005,0.7447421742016287,0,0
any_gt0,A01_daily_max,fit,33.0525,0.7479270872838184,0,0
any_gt0,A01_daily_max,fit,33.22,0.7510829845287708,0,0
any_gt0,A01_daily_max,fit,33.3875,0.7542098027640993,0,0
any_gt0,A01_daily_max,fit,33.555,0.7573074910569677,0,0
any_gt0,A01_daily_max,fit,33.722500000000004,0.7603760103533579,0,0
any_gt0,A01_daily_max,fit,33.89,0.7634153331218296,0,0
any_gt0,A01_daily_max,fit,34.057500000000005,0.766425443001943,0,0
any_gt0,A01_daily_max,fit,34.225,0.7694063344575054,0,0
any_gt0,A01_daily_max,fit,34.392500000000005,0.7723580124347813,0,0
any_gt0,A01_daily_max,fit,34.56,0.7752804920257934,0,0
any_gt0,A01_daily_max,fit,34.7275,0.7781737981368315,0,0
any_gt0,A01_daily_max,fit,34.895,0.7810379651622686,0,0
any_gt0,A01_daily_max,fit,35.0625,0.783873036663773,0,0
any_gt0,A01_daily_max,fit,35.230000000000004,0.7866790650549929,0,0
any_gt0,A01_daily_max,fit,35.3975,0.7894561112917826,0,0
any_gt0,A01_daily_max,fit,35.565,0.792204244568022,0,0
any_gt0,A01_daily_max,fit,35.7325,0.7949235420170759,0,0
any_gt0,A01_daily_max,fit,35.9,0.7976140884189291,0,0
any_gt0,A01_daily_max,observed,5.1194362963907665,0.3115674021170769,7841,2443
any_gt0,A01_daily_max,observed,6.6370953846153835,0.3254153846153846,8125,2644
any_gt0,A01_daily_max,observed,7.562356876366912,0.3270294609545864,7773,2542
any_gt0,A01_daily_max,observed,8.312028930338789,0.32457809922598657,7881,2558
any_gt0,A01_daily_max,observed,8.997597214161347,0.32350551363900176,8615,2787
any_gt0,A01_daily_max,observed,9.650825206301576,0.3113278319579895,7998,2490
any_gt0,A01_daily_max,observed,10.239861844778547,0.32317486116754707,7383,2386
any_gt0,A01_daily_max,observed,10.898376663005003,0.3201513487123154,8193,2623
any_gt0,A01_daily_max,observed,11.596221209213052,0.3254558541266795,8336,2713
any_gt0,A01_daily_max,observed,12.327606247729749,0.3335754934011382,8259,2755
any_gt0,A01_daily_max,observed,13.243901885078357,0.3370429252782194,8806,2968
any_gt0,A01_daily_max,observed,14.290983188996435,0.3554508405501783,7852,2791
any_gt0,A01_daily_max,observed,15.55823215152987,0.3643759106362312,8236,3001
any_gt0,A01_daily_max,observed,17.472977004350525,0.3917961466749534,8045,3152
any_gt0,A01_daily_max,observed,21.690256225189465,0.4899554913990136,8313,4073
any_gt0,A02_daily_mean,fit,1.7041666666666666,0.3231737060632991,0,0
any_gt0,A02_daily_mean,fit,1.8219375,0.3231737078234382,0,0
any_gt0,A02_daily_mean,fit,1.9397083333333334,0.323173711679833,0,0
any_gt0,A02_daily_mean,fit,2.0574791666666665,0.323173719581297,0,0
any_gt0,A02_daily_mean,fit,2.17525,0.3231737348531743,0,0
any_gt0,A02_daily_mean,fit,2.2930208333333333,0.32317376289790073,0,0
any_gt0,A02_daily_mean,fit,2.4107916666666664,0.3231738121229108,0,0
any_gt0,A02_daily_mean,fit,2.5285625,0.32317389512503913,0,0
any_gt0,A02_daily_mean,fit,2.6463333333333336,0.323174030153383,0,0
any_gt0,A02_daily_mean,fit,2.764104166666667,0.3231742428635532,0,0
any_gt0,A02_daily_mean,fit,2.881875,0.32317456836593056,0,0
any_gt0,A02_daily_mean,fit,2.9996458333333336,0.32317505355963305,0,0
any_gt0,A02_daily_mean,fit,3.1174166666666667,0.32317575973300816,0,0
any_gt0,A02_daily_mean,fit,3.2351875000000003,0.3231767654011921,0,0
any_gt0,A02_daily_mean,fit,3.3529583333333335,0.3231781693420874,0,0
any_gt0,A02_daily_mean,fit,3.4707291666666666,0.32318009378438384,0,0
any_gt0,A02_daily_mean,fit,3.5885000000000002,0.3231826876952326,0,0
any_gt0,A02_daily_mean,fit,3.7062708333333334,0.3231861301110052,0,0
any_gt0,A02_daily_mean,fit,3.824041666666667,0.3231906334522704,0,0
any_gt0,A02_daily_mean,fit,3.9418125,0.3231964467636355,0,0
any_gt0,A02_daily_mean,fit,4.059583333333334,0.32320385882029684,0,0
any_gt0,A02_daily_mean,fit,4.177354166666667,0.3232132010458495,0,0
any_gt0,A02_daily_mean,fit,4.2951250000000005,0.3232248501898974,0,0
any_gt0,A02_daily_mean,fit,4.412895833333334,0.3232392307190489,0,0
any_gt0,A02_daily_mean,fit,4.530666666666667,0.3232568168807374,0,0
any_gt0,A02_daily_mean,fit,4.6484375,0.323278134405731,0,0
any_gt0,A02_daily_mean,fit,4.766208333333333,0.32330376182197135,0,0
any_gt0,A02_daily_mean,fit,4.883979166666667,0.32333433135929535,0,0
any_gt0,A02_daily_mean,fit,5.00175,0.32337052943147326,0,0
any_gt0,A02_daily_mean,fit,5.119520833333334,0.32341309668867485,0,0
any_gt0,A02_daily_mean,fit,5.237291666666668,0.3234628276398324,0,0
any_gt0,A02_daily_mean,fit,5.355062500000001,0.3235205698502928,0,0
any_gt0,A02_daily_mean,fit,5.472833333333334,0.32358722272556606,0,0
any_gt0,A02_daily_mean,fit,5.590604166666667,0.32366373589682945,0,0
any_gt0,A02_daily_mean,fit,5.708375,0.3237511072280951,0,0
any_gt0,A02_daily_mean,fit,5.826145833333334,0.32385038046858095,0,0
any_gt0,A02_daily_mean,fit,5.943916666666667,0.32396264257684165,0,0
any_gt0,A02_daily_mean,fit,6.061687500000001,0.3240890207456226,0,0
any_gt0,A02_daily_mean,fit,6.179458333333334,0.32423067915822656,0,0
any_gt0,A02_daily_mean,fit,6.297229166666668,0.32438881550845844,0,0
any_gt0,A02_daily_mean,fit,6.415000000000001,0.324564657316974,0,0
any_gt0,A02_daily_mean,fit,6.532770833333334,0.3247594580771508,0,0
any_gt0,A02_daily_mean,fit,6.650541666666667,0.324974493263466,0,0
any_gt0,A02_daily_mean,fit,6.7683125,0.32521105623485436,0,0
any_gt0,A02_daily_mean,fit,6.8860833333333344,0.32547045406467745,0,0
any_gt0,A02_daily_mean,fit,7.003854166666668,0.32575400332781124,0,0
any_gt0,A02_daily_mean,fit,7.121625000000001,0.326063025873992,0,0
any_gt0,A02_daily_mean,fit,7.239395833333334,0.3263988446150027,0,0
any_gt0,A02_daily_mean,fit,7.357166666666667,0.32676277935156506,0,0
any_gt0,A02_daily_mean,fit,7.474937500000001,0.3271561426639692,0,0
any_gt0,A02_daily_mean,fit,7.592708333333334,0.32758023588855684,0,0
any_gt0,A02_daily_mean,fit,7.710479166666667,0.32803634520020375,0,0
any_gt0,A02_daily_mean,fit,7.828250000000001,0.32852573781895594,0,0
any_gt0,A02_daily_mean,fit,7.946020833333335,0.3290496583569794,0,0
any_gt0,A02_daily_mean,fit,8.063791666666667,0.3296093253200156,0,0
any_gt0,A02_daily_mean,fit,8.181562500000002,0.3302059277756024,0,0
any_gt0,A02_daily_mean,fit,8.299333333333333,0.33084062219844995,0,0
any_gt0,A02_daily_mean,fit,8.417104166666668,0.3315145295015559,0,0
any_gt0,A02_daily_mean,fit,8.534875000000001,0.3322287322599218,0,0
any_gt0,A02_daily_mean,fit,8.652645833333334,0.3329842721320992,0,0
any_gt0,A02_daily_mean,fit,8.770416666666668,0.33378214748325363,0,0
any_gt0,A02_daily_mean,fit,8.8881875,0.33462331121199507,0,0
any_gt0,A02_daily_mean,fit,9.005958333333336,0.33550866878188806,0,0
any_gt0,A02_daily_mean,fit,9.123729166666667,0.33643907645731846,0,0
any_gt0,A02_daily_mean,fit,9.241500000000002,0.3374153397422681,0,0
any_gt0,A02_daily_mean,fit,9.359270833333333,0.3384382120195192,0,0
any_gt0,A02_daily_mean,fit,9.477041666666668,0.33950839338688815,0,0
any_gt0,A02_daily_mean,fit,9.594812500000002,0.3406265296862607,0,0
any_gt0,A02_daily_mean,fit,9.712583333333335,0.3417932117204704,0,0
any_gt0,A02_daily_mean,fit,9.83035416666667,0.3430089746524228,0,0
any_gt0,A02_daily_mean,fit,9.948125000000001,0.3442742975803162,0,0
any_gt0,A02_daily_mean,fit,10.065895833333336,0.3455896032823413,0,0
any_gt0,A02_daily_mean,fit,10.183666666666667,0.3469552581238503,0,0
any_gt0,A02_daily_mean,fit,10.301437500000002,0.34837157211967,0,0
any_gt0,A02_daily_mean,fit,10.419208333333334,0.34983879914398375,0,0
any_gt0,A02_daily_mean,fit,10.536979166666669,0.35135713728002227,0,0
any_gt0,A02_daily_mean,fit,10.65475,0.35292672930167435,0,0
any_gt0,A02_daily_mean,fit,10.772520833333335,0.3545476632790596,0,0
any_gt0,A02_daily_mean,fit,10.89029166666667,0.356219973300076,0,0
any_gt0,A02_daily_mean,fit,11.008062500000001,0.3579436402999593,0,0
any_gt0,A02_daily_mean,fit,11.125833333333336,0.3597185929909503,0,0
any_gt0,A02_daily_mean,fit,11.243604166666668,0.36154470888426055,0,0
any_gt0,A02_daily_mean,fit,11.361375000000002,0.3634218153966595,0,0
any_gt0,A02_daily_mean,fit,11.479145833333334,0.3653496910341568,0,0
any_gt0,A02_daily_mean,fit,11.596916666666669,0.3673280666454381,0,0
any_gt0,A02_daily_mean,fit,11.7146875,0.369356626737912,0,0
any_gt0,A02_daily_mean,fit,11.832458333333335,0.3714350108494478,0,0
any_gt0,A02_daily_mean,fit,11.95022916666667,0.3735628149691141,0,0
any_gt0,A02_daily_mean,fit,12.068000000000001,0.3757395930004799,0,0
any_gt0,A02_daily_mean,fit,12.185770833333336,0.3779648582612944,0,0
any_gt0,A02_daily_mean,fit,12.303541666666668,0.3802380850136229,0,0
any_gt0,A02_daily_mean,fit,12.421312500000003,0.3825587100187925,0,0
any_gt0,A02_daily_mean,fit,12.539083333333334,0.3849261341117671,0,0
any_gt0,A02_daily_mean,fit,12.656854166666669,0.38733972378985165,0,0
any_gt0,A02_daily_mean,fit,12.774625,0.3897988128108948,0,0
any_gt0,A02_daily_mean,fit,12.892395833333335,0.39230270379644056,0,0
any_gt0,A02_daily_mean,fit,13.010166666666667,0.394850669835539,0,0
any_gt0,A02_daily_mean,fit,13.127937500000002,0.3974419560852094,0,0
any_gt0,A02_daily_mean,fit,13.245708333333337,0.400075781363795,0,0
any_gt0,A02_daily_mean,fit,13.363479166666668,0.4027513397337202,0,0
any_gt0,A02_daily_mean,fit,13.481250000000003,0.4054678020704039,0,0
any_gt0,A02_daily_mean,fit,13.599020833333334,0.4082243176143327,0,0
any_gt0,A02_daily_mean,fit,13.71679166666667,0.41102001550352946,0,0
any_gt0,A02_daily_mean,fit,13.8345625,0.41385400628388963,0,0
any_gt0,A02_daily_mean,fit,13.952333333333335,0.4167253833950729,0,0
any_gt0,A02_daily_mean,fit,14.070104166666667,0.419633224629855,0,0
any_gt0,A02_daily_mean,fit,14.187875000000002,0.42257659356504784,0,0
any_gt0,A02_daily_mean,fit,14.305645833333337,0.42555454096229434,0,0
any_gt0,A02_daily_mean,fit,14.423416666666668,0.42856610613722834,0,0
any_gt0,A02_daily_mean,fit,14.541187500000003,0.4316103182956734,0,0
any_gt0,A02_daily_mean,fit,14.658958333333334,0.43468619783571827,0,0
any_gt0,A02_daily_mean,fit,14.77672916666667,0.4377927576146788,0,0
any_gt0,A02_daily_mean,fit,14.8945,0.44092900418009306,0,0
any_gt0,A02_daily_mean,fit,15.012270833333336,0.44409393896405946,0,0
any_gt0,A02_daily_mean,fit,15.130041666666667,0.44728655944034484,0,0
any_gt0,A02_daily_mean,fit,15.247812500000002,0.4505058602438382,0,0
any_gt0,A02_daily_mean,fit,15.365583333333337,0.45375083425202256,0,0
any_gt0,A02_daily_mean,fit,15.483354166666668,0.4570204736282732,0,0
any_gt0,A02_daily_mean,fit,15.601125000000003,0.4603137708268768,0,0
any_gt0,A02_daily_mean,fit,15.718895833333335,0.4636297195597743,0,0
any_gt0,A02_daily_mean,fit,15.83666666666667,0.46696731572512085,0,0
any_gt0,A02_daily_mean,fit,15.954437500000001,0.4703255582978294,0,0
any_gt0,A02_daily_mean,fit,16.072208333333336,0.47370345018236204,0,0
any_gt0,A02_daily_mean,fit,16.189979166666667,0.4770999990280792,0,0
any_gt0,A02_daily_mean,fit,16.307750000000002,0.4805142180075488,0,0
any_gt0,A02_daily_mean,fit,16.425520833333337,0.4839451265582525,0,0
any_gt0,A02_daily_mean,fit,16.54329166666667,0.4873917510881996,0,0
any_gt0,A02_daily_mean,fit,16.661062500000003,0.4908531256459992,0,0
any_gt0,A02_daily_mean,fit,16.778833333333335,0.4943282925559812,0,0
any_gt0,A02_daily_mean,fit,16.89660416666667,0.4978163030190105,0,0
any_gt0,A02_daily_mean,fit,17.014375,0.5013162176796578,0,0
any_gt0,A02_daily_mean,fit,17.132145833333336,0.5048271071604331,0,0
any_gt0,A02_daily_mean,fit,17.249916666666667,0.5083480525638069,0,0
any_gt0,A02_daily_mean,fit,17.367687500000002,0.5118781459427755,0,0
any_gt0,A02_daily_mean,fit,17.485458333333337,0.515416490740737,0,0
any_gt0,A02_daily_mean,fit,17.60322916666667,0.5189622022014694,0,0
any_gt0,A02_daily_mean,fit,17.721,0.5225144077500123,0,0
any_gt0,A02_daily_mean,fit,17.838770833333335,0.5260722473452616,0,0
any_gt0,A02_daily_mean,fit,17.95654166666667,0.5296348738051008,0,0
any_gt0,A02_daily_mean,fit,18.0743125,0.5332014531048908,0,0
any_gt0,A02_daily_mean,fit,18.192083333333336,0.5367711646501497,0,0
any_gt0,A02_daily_mean,fit,18.309854166666668,0.5403432015242496,0,0
any_gt0,A02_daily_mean,fit,18.427625000000003,0.5439167707119604,0,0
any_gt0,A02_daily_mean,fit,18.545395833333334,0.5474910932996644,0,0
any_gt0,A02_daily_mean,fit,18.66316666666667,0.5510654046530643,0,0
any_gt0,A02_daily_mean,fit,18.7809375,0.5546389545731978,0,0
any_gt0,A02_daily_mean,fit,18.898708333333335,0.558211007431568,0,0
any_gt0,A02_daily_mean,fit,19.01647916666667,0.5617808422851854,0,0
any_gt0,A02_daily_mean,fit,19.13425,0.5653477529723121,0,0
any_gt0,A02_daily_mean,fit,19.252020833333336,0.5689110481896871,0,0
any_gt0,A02_daily_mean,fit,19.369791666666668,0.5724700515519929,0,0
any_gt0,A02_daily_mean,fit,19.487562500000003,0.576024101634323,0,0
any_gt0,A02_daily_mean,fit,19.605333333333334,0.5795725519983843,0,0
any_gt0,A02_daily_mean,fit,19.72310416666667,0.5831147712031644,0,0
any_gt0,A02_daily_mean,fit,19.840875,0.5866501428007679,0,0
any_gt0,A02_daily_mean,fit,19.958645833333335,0.5901780653181241,0,0
any_gt0,A02_daily_mean,fit,20.07641666666667,0.5936979522252411,0,0
any_gt0,A02_daily_mean,fit,20.1941875,0.5972092318906692,0,0
any_gt0,A02_daily_mean,fit,20.311958333333337,0.6007113475248264,0,0
any_gt0,A02_daily_mean,fit,20.429729166666668,0.6042037571118086,0,0
any_gt0,A02_daily_mean,fit,20.547500000000003,0.6076859333303082,0,0
