Incident Reference,old_start_raw,selected_start_raw,old_time_utc,new_time_utc,new_time_london,new_date_utc,new_date_london,old_period,new_period,new_period_london,new_in_study_utc,new_in_study_london,max_stage_end_utc,recovery_crosses_study_end
FREP-371784-Z,2023-05-04T00:38:00+01:00,2023-05-04T00:38:00+01:00,2023-05-03 23:38:00+00:00,2023-05-03 23:38:00+00:00,2023-05-04 00:38:00+01:00,2023-05-03,2023-05-04,development,development,development,True,True,2023-05-04 00:30:00+00:00,False
FREP-371785-Z,2023-05-04T00:53:00+01:00,2023-05-04T00:53:00+01:00,2023-05-03 23:53:00+00:00,2023-05-03 23:53:00+00:00,2023-05-04 00:53:00+01:00,2023-05-03,2023-05-04,development,development,development,True,True,2023-05-04 05:55:00+00:00,False
FREP-372186-Z,2023-05-06T00:31:00+01:00,2023-05-06T00:31:00+01:00,2023-05-05 23:31:00+00:00,2023-05-05 23:31:00+00:00,2023-05-06 00:31:00+01:00,2023-05-05,2023-05-06,development,development,development,True,True,2023-05-06 01:36:00+00:00,False
FREP-372278-Z,2023-05-07T00:59:00+01:00,2023-05-07T00:59:00+01:00,2023-05-06 23:59:00+00:00,2023-05-06 23:59:00+00:00,2023-05-07 00:59:00+01:00,2023-05-06,2023-05-07,development,development,development,True,True,2023-05-07 12:30:00+00:00,False
FREP-372355-Z,2023-05-08T00:14:00+01:00,2023-05-08T00:14:00+01:00,2023-05-07 23:14:00+00:00,2023-05-07 23:14:00+00:00,2023-05-08 00:14:00+01:00,2023-05-07,2023-05-08,development,development,development,True,True,2023-05-08 17:17:00+00:00,False
FREP-372947-Z,2023-05-11T00:17:00+01:00,2023-05-11T00:17:00+01:00,2023-05-10 23:17:00+00:00,2023-05-10 23:17:00+00:00,2023-05-11 00:17:00+01:00,2023-05-10,2023-05-11,development,development,development,True,True,2023-05-11 00:35:00+00:00,False
FREP-373183-Z,2023-05-12T00:11:00+01:00,2023-05-12T00:11:00+01:00,2023-05-11 23:11:00+00:00,2023-05-11 23:11:00+00:00,2023-05-12 00:11:00+01:00,2023-05-11,2023-05-12,development,development,development,True,True,2023-05-12 04:27:00+00:00,False
FREP-373184-Z,2023-05-12T00:40:00+01:00,2023-05-12T00:40:00+01:00,2023-05-11 23:40:00+00:00,2023-05-11 23:40:00+00:00,2023-05-12 00:40:00+01:00,2023-05-11,2023-05-12,development,development,development,True,True,2023-05-12 01:12:00+00:00,False
FREP-373267-Z,2023-05-13T00:58:00+01:00,2023-05-13T00:58:00+01:00,2023-05-12 23:58:00+00:00,2023-05-12 23:58:00+00:00,2023-05-13 00:58:00+01:00,2023-05-12,2023-05-13,development,development,development,True,True,2023-05-13 00:41:00+00:00,False
FREP-373532-Z,2023-05-14T00:03:00+01:00,2023-05-14T00:03:00+01:00,2023-05-13 23:03:00+00:00,2023-05-13 23:03:00+00:00,2023-05-14 00:03:00+01:00,2023-05-13,2023-05-14,development,development,development,True,True,2023-05-15 20:04:00+00:00,False
FREP-373533-Z,2023-05-14T00:20:00+01:00,2023-05-14T00:20:00+01:00,2023-05-13 23:20:00+00:00,2023-05-13 23:20:00+00:00,2023-05-14 00:20:00+01:00,2023-05-13,2023-05-14,development,development,development,True,True,2023-05-14 06:20:00+00:00,False
FREP-373534-Z,2023-05-14T00:36:00+01:00,2023-05-14T00:36:00+01:00,2023-05-13 23:36:00+00:00,2023-05-13 23:36:00+00:00,2023-05-14 00:36:00+01:00,2023-05-13,2023-05-14,development,development,development,True,True,2023-05-14 01:05:00+00:00,False
FREP-373694-Z,2023-05-16T00:39:00+01:00,2023-05-16T00:39:00+01:00,2023-05-15 23:39:00+00:00,2023-05-15 23:39:00+00:00,2023-05-16 00:39:00+01:00,2023-05-15,2023-05-16,development,development,development,True,True,2023-05-16 02:15:00+00:00,False
