Incident Reference,distinct_cause_code_count
FREP-12402-O,1
FREP-124095-Z,1
FREP-12424-O,1
FREP-12431-O,1
FREP-12432-O,1
FREP-12439-O,1
FREP-12441-O,1
FREP-12456-O,1
FREP-12457-O,1
FREP-12460-O,1
FREP-12461-O,1
FREP-12469-O,1
FREP-12471-O,1
FREP-12489-O,1
FREP-12491-O,1
FREP-12508-O,1
FREP-125095-Z,1
FREP-12510-O,1
FREP-12511-O,1
FREP-12521-O,1
FREP-12524-O,1
FREP-12530-O,1
FREP-12534-O,1
FREP-12541-O,1
FREP-12542-O,1
FREP-12546-O,1
FREP-12548-O,1
FREP-12549-O,1
FREP-12550-O,1
FREP-12551-O,1
FREP-12552-O,1
FREP-12553-O,1
FREP-125530-Z,1
FREP-12554-O,1
FREP-12555-O,1
FREP-12556-O,1
FREP-12557-O,1
FREP-12558-O,1
FREP-125605-Z,1
FREP-125607-G,1
FREP-12561-O,1
FREP-12566-O,1
FREP-12567-O,1
FREP-12574-O,1
FREP-12579-O,1
FREP-12590-O,1
FREP-12597-O,1
FREP-12602-O,1
FREP-12608-O,1
FREP-12609-O,1
FREP-12620-O,1
FREP-12635-O,1
FREP-12640-O,1
FREP-12642-O,1
FREP-12645-O,1
FREP-12649-O,1
FREP-12657-O,1
FREP-12663-O,1
FREP-126680-Z,1
FREP-12670-O,1
FREP-12671-O,1
FREP-12676-O,1
FREP-12682-O,1
FREP-126945-Z,1
FREP-12696-O,1
FREP-12713-O,1
FREP-12720-W,1
FREP-12729-Z,1
FREP-12767-O,1
FREP-12774-O,1
FREP-12802-W,1
FREP-12803-O,1
FREP-12814-O,1
FREP-12825-O,1
FREP-128260-Z,1
FREP-12835-O,1
FREP-12836-O,1
FREP-12839-O,1
FREP-12848-O,1
FREP-12859-O,1
FREP-12862-W,1
FREP-12867-O,1
FREP-12869-O,1
FREP-12871-O,1
FREP-12872-O,1
FREP-12873-O,1
FREP-12874-O,1
FREP-12900-O,1
FREP-129239-G,1
FREP-12928-O,1
FREP-129305-G,1
FREP-129348-G,1
FREP-12980-W,1
FREP-12992-O,1
FREP-13005-W,1
FREP-13009-W,1
FREP-13014-W,1
FREP-13022-W,1
FREP-13023-W,1
FREP-130302-Z,1
FREP-13038-W,1
FREP-13046-O,1
FREP-13054-O,1
FREP-13060-O,1
FREP-13065-O,1
FREP-13066-O,1
FREP-13068-O,1
FREP-13070-O,1
FREP-13071-O,1
FREP-13072-W,1
FREP-13073-O,1
FREP-13080-W,1
FREP-13081-O,1
FREP-13083-W,1
FREP-13086-W,1
FREP-13089-W,1
FREP-13095-O,1
FREP-13099-W,1
FREP-13100-W,1
FREP-13101-W,1
FREP-13109-O,1
FREP-13109-W,1
FREP-13112-W,1
FREP-13113-W,1
FREP-13115-O,1
FREP-13118-O,1
FREP-13123-W,1
FREP-131238-Z,1
FREP-13129-W,1
FREP-13144-W,1
FREP-13150-O,1
FREP-13150-W,1
FREP-13152-O,1
FREP-13156-O,1
FREP-13157-O,1
FREP-13157-W,1
FREP-13158-O,1
FREP-13158-W,1
FREP-13159-O,1
FREP-13160-O,1
FREP-13160-W,1
FREP-13161-O,1
FREP-13163-O,1
FREP-13163-W,1
FREP-13164-O,1
FREP-13164-W,1
FREP-13165-W,1
FREP-13167-O,1
FREP-13168-W,1
FREP-13171-W,1
FREP-13172-W,1
FREP-13173-W,1
FREP-13175-W,1
FREP-13177-W,1
FREP-13179-W,1
FREP-13183-W,1
FREP-13187-O,1
FREP-13188-O,1
FREP-13191-O,1
FREP-13194-O,1
FREP-13196-W,1
FREP-13197-O,1
FREP-131970-G,1
FREP-13198-O,1
FREP-13198-W,1
FREP-13199-W,1
FREP-13200-W,1
FREP-13201-W,1
FREP-13202-W,1
FREP-13208-W,1
FREP-13211-O,1
FREP-13212-W,1
FREP-13214-W,1
FREP-13216-O,1
FREP-13218-W,1
FREP-13221-W,1
FREP-13223-W,1
FREP-13227-W,1
FREP-13228-O,1
FREP-13229-O,1
FREP-13229-W,1
FREP-13231-W,1
FREP-13233-W,1
FREP-13236-W,1
FREP-13242-W,1
FREP-13243-W,1
FREP-13247-W,1
FREP-13249-W,1
FREP-13255-O,1
FREP-13255-W,1
FREP-13257-O,1
FREP-13257-W,1
FREP-13258-O,1
FREP-13258-W,1
FREP-13259-O,1
FREP-13261-O,1
FREP-13261-W,1
FREP-13262-W,1
FREP-13265-W,1
FREP-13268-W,1
FREP-13269-W,1
FREP-13271-W,1
FREP-13275-W,1
FREP-13276-W,1
FREP-13282-O,1
FREP-13286-W,1
FREP-13289-W,1
FREP-13294-O,1
FREP-13306-O,1
FREP-13306-W,1
FREP-13307-W,1
FREP-13312-W,1
FREP-13313-O,1
FREP-13317-W,1
FREP-13319-W,1
FREP-13320-W,1
FREP-13329-W,1
FREP-13331-W,1
FREP-13332-W,1
FREP-13334-W,1
FREP-13335-W,1
FREP-13336-W,1
FREP-13339-W,1
FREP-13340-W,1
FREP-13345-O,1
FREP-13346-O,1
FREP-13350-O,1
FREP-13353-W,1
FREP-13365-O,1
FREP-13368-O,1
FREP-13371-O,1
FREP-13372-O,1
FREP-13373-O,1
FREP-13374-O,1
FREP-13375-O,1
FREP-13376-W,1
FREP-133761-Z,1
FREP-13377-O,1
FREP-13377-W,1
FREP-13378-O,1
FREP-13379-W,1
FREP-13381-O,1
FREP-13382-O,1
FREP-13384-W,1
FREP-13385-W,1
FREP-13386-O,1
FREP-13386-W,1
FREP-13390-O,1
FREP-13392-W,1
FREP-13393-O,1
FREP-13396-O,1
FREP-13398-O,1
FREP-13401-W,1
FREP-13402-W,1
FREP-13406-O,1
FREP-13406-W,1
FREP-13413-O,1
FREP-13415-O,1
FREP-13416-W,1
FREP-13417-W,1
FREP-13418-W,1
FREP-13427-W,1
FREP-13428-W,1
FREP-13432-W,1
FREP-13433-W,1
FREP-13437-O,1
FREP-13437-W,1
FREP-13439-W,1
FREP-13440-O,1
FREP-13443-W,1
FREP-13447-O,1
FREP-13448-W,1
FREP-13449-O,1
FREP-13451-O,1
FREP-13451-W,1
FREP-13465-W,1
FREP-13466-W,1
FREP-13470-O,1
FREP-13483-W,1
FREP-134857-Z,1
FREP-13487-W,1
FREP-13492-W,1
FREP-13493-W,1
FREP-13494-W,1
FREP-13495-W,1
FREP-13496-W,1
FREP-13499-W,1
FREP-13501-W,1
FREP-13502-O,1
FREP-13502-W,1
FREP-13509-O,1
FREP-13510-O,1
FREP-135100-Z,1
FREP-13513-O,1
FREP-13515-O,1
FREP-13516-O,1
FREP-13517-O,1
FREP-13520-O,1
FREP-13521-O,1
FREP-13522-O,1
FREP-13524-O,1
FREP-13531-O,1
FREP-13533-O,1
FREP-135362-Z,1
FREP-13542-W,1
FREP-13543-W,1
FREP-13544-W,1
FREP-13549-W,1
FREP-135505-G,1
FREP-13551-O,1
FREP-13555-W,1
FREP-13562-O,1
FREP-13563-W,1
FREP-13564-O,1
FREP-13564-W,1
FREP-135650-G,1
FREP-13567-O,1
FREP-13569-W,1
FREP-13574-W,1
FREP-13575-O,1
FREP-13577-W,1
FREP-13581-O,1
FREP-13590-O,1
FREP-13591-O,1
FREP-13591-W,1
FREP-13593-W,1
FREP-13600-W,1
FREP-13603-O,1
FREP-136030-G,1
FREP-13604-O,1
FREP-13605-O,1
FREP-13608-O,1
FREP-13609-O,1
FREP-13624-W,1
FREP-13625-W,1
FREP-13629-O,1
FREP-13629-W,1
FREP-13630-O,1
FREP-13631-O,1
FREP-13633-W,1
FREP-13634-O,1
FREP-13634-W,1
FREP-13642-O,1
FREP-13646-O,1
FREP-13646-W,1
FREP-13653-W,1
FREP-13664-W,1
FREP-13671-W,1
FREP-13677-W,1
FREP-13678-W,1
FREP-13679-O,1
FREP-13686-W,1
FREP-13690-W,1
FREP-13691-O,1
FREP-13704-W,1
FREP-13706-W,1
FREP-13707-W,1
FREP-13717-W,1
FREP-13720-W,1
FREP-13728-W,1
FREP-13729-W,1
FREP-13730-O,1
FREP-13731-W,1
FREP-13739-W,1
FREP-13740-W,1
FREP-13741-O,1
FREP-13742-O,1
FREP-13743-O,1
FREP-13744-W,1
FREP-13748-W,1
FREP-13750-W,1
FREP-13756-O,1
FREP-13757-O,1
FREP-13758-O,1
FREP-13762-W,1
FREP-13764-O,1
FREP-13765-O,1
FREP-13765-W,1
FREP-13766-O,1
FREP-13766-W,1
FREP-13767-O,1
FREP-13767-W,1
FREP-13770-O,1
FREP-137732-G,1
FREP-13775-W,1
FREP-13776-W,1
FREP-13782-W,1
FREP-13784-W,1
FREP-13787-W,1
FREP-13791-O,1
FREP-13805-O,1
FREP-13808-O,1
FREP-13809-O,1
FREP-13810-W,1
FREP-13811-O,1
FREP-13812-O,1
FREP-13813-O,1
FREP-13813-W,1
FREP-13814-O,1
FREP-13817-W,1
FREP-13818-O,1
FREP-13819-W,1
FREP-13823-W,1
FREP-13824-W,1
FREP-13830-O,1
FREP-13836-W,1
FREP-13839-W,1
FREP-13840-O,1
FREP-13840-W,1
FREP-13841-W,1
FREP-13842-O,1
FREP-13843-O,1
FREP-13845-O,1
FREP-13846-O,1
FREP-13848-O,1
FREP-13851-W,1
FREP-13862-W,1
FREP-13870-W,1
FREP-13873-O,1
FREP-13874-O,1
FREP-13875-O,1
FREP-13876-O,1
FREP-13880-W,1
FREP-13888-W,1
FREP-13889-O,1
FREP-13889-W,1
FREP-13890-W,1
FREP-13891-O,1
FREP-13891-W,1
FREP-13892-O,1
FREP-138921-G,1
FREP-13894-O,1
FREP-13895-O,1
FREP-13896-O,1
FREP-13900-O,1
FREP-13900-W,1
FREP-13902-W,1
FREP-13911-W,1
FREP-13927-O,1
FREP-13929-O,1
FREP-13930-O,1
FREP-13932-O,1
FREP-13932-W,1
FREP-13933-O,1
FREP-13934-O,1
FREP-13935-O,1
FREP-13939-W,1
FREP-13940-W,1
FREP-13958-W,1
FREP-13960-W,1
FREP-13961-O,1
FREP-13961-W,1
FREP-13963-W,1
FREP-13965-W,1
FREP-13969-O,1
FREP-13969-W,1
FREP-13970-W,1
FREP-13971-O,1
FREP-13976-W,1
FREP-13978-O,1
FREP-13982-W,1
FREP-13983-W,1
FREP-13989-W,1
FREP-13996-W,1
FREP-13999-O,1
FREP-14000-O,1
FREP-14000-W,1
FREP-14002-W,1
FREP-14004-W,1
FREP-14006-W,1
FREP-14008-W,1
FREP-14011-W,1
FREP-14012-W,1
FREP-14019-W,1
FREP-14023-W,1
FREP-14025-W,1
FREP-14030-W,1
FREP-14031-W,1
FREP-14036-W,1
FREP-14037-W,1
FREP-14038-W,1
FREP-14039-W,1
FREP-14040-O,1
FREP-14040-W,1
FREP-14042-W,1
FREP-14043-W,1
FREP-14047-W,1
FREP-14051-W,1
FREP-14052-W,1
FREP-14055-W,1
FREP-14057-O,1
FREP-14059-W,1
FREP-14063-W,1
FREP-14066-W,1
FREP-14067-W,1
FREP-14069-W,1
FREP-14075-W,1
FREP-14077-O,1
FREP-14078-O,1
FREP-14080-W,1
FREP-14081-W,1
FREP-14082-W,1
FREP-14087-O,1
FREP-14088-W,1
FREP-14089-O,1
FREP-14089-W,1
FREP-14095-W,1
FREP-14097-W,1
FREP-140970-G,1
FREP-14098-W,1
FREP-14100-W,1
FREP-14101-W,1
FREP-14105-W,1
FREP-14107-W,1
FREP-14108-W,1
FREP-14109-W,1
FREP-14111-W,1
FREP-14112-O,1
FREP-14113-W,1
FREP-14115-W,1
FREP-14116-O,1
FREP-14118-O,1
FREP-14119-O,1
FREP-14119-W,1
FREP-14120-O,1
FREP-14121-W,1
