k1,k2,sse,lr
18.0,23.0,237425.98768656902,87.10557032289132
18.0,24.0,237443.02373525462,91.44195635815052
18.0,25.0,237484.03703050286,101.88027725350337
18.0,26.0,237546.5534199474,117.78789721157285
18.0,27.0,237611.8054320303,134.387145885524
18.0,28.0,237672.42076111445,149.80280019016254
18.0,29.0,237725.9090683699,163.40264956446896
18.0,30.0,237779.34293328004,176.98560156583005
18.0,31.0,237824.83130807488,188.54639545601503
18.0,32.0,237862.3443177943,198.07860018754818
18.0,33.0,237891.76954799448,205.55461600346476
18.0,34.0,237911.0293423174,210.44741694052166
19.0,23.0,237574.00287194093,124.77123022047738
19.0,24.0,237601.06598471096,131.65548596303537
19.0,25.0,237650.6133855359,144.25721428717713
19.0,26.0,237719.69039875193,161.8216580224536
19.0,27.0,237788.41565359925,179.2915947207506
19.0,28.0,237849.98091699067,194.9371770420821
19.0,29.0,237902.48185026777,208.27604195889236
19.0,30.0,237953.5828510262,221.25640061692528
19.0,31.0,237996.1039866956,232.05523063765526
19.0,32.0,238030.65923154744,240.8295916532282
19.0,33.0,238057.5342719064,247.65289388195356
19.0,34.0,238074.82941726025,252.0435498420316
20.0,24.0,237744.11568736882,168.03113664329877
20.0,25.0,237800.76754668908,182.43090650161065
20.0,26.0,237874.35668151878,201.13067174328052
20.0,27.0,237944.04318492184,218.83340554872242
20.0,28.0,238004.01644587828,234.0644960774611
20.0,29.0,238053.20711442552,246.55432418400244
20.0,30.0,238099.98262780413,258.42853513987063
20.0,31.0,238137.97840131924,268.07224587575206
20.0,32.0,238168.44044345684,275.80270832740507
20.0,33.0,238191.96621606563,281.77225197727955
20.0,34.0,238206.77045896696,285.52845013498666
