[2026-09-09T23:16:37.148263+01:00] Protocol frozen before candidate performance
[2026-09-09T23:17:44.435675+01:00] Fit 159/240 A04_top3_mean any_gt100 fold_1
[2026-09-09T23:17:44.672834+01:00] Fit 160/240 A04_top3_mean any_gt100 fold_2
[2026-09-09T23:17:44.870434+01:00] Fit 161/240 A04_top3_mean any_gt100 fold_3
[2026-09-09T23:17:45.099534+01:00] Fit 162/240 A04_top3_mean any_gt100 fold_4
[2026-09-09T23:17:45.293847+01:00] Fit 163/240 A04_top3_mean any_gt1000 full
[2026-09-09T23:17:45.599062+01:00] Fit 164/240 A04_top3_mean any_gt1000 fold_0
[2026-09-09T23:17:45.860242+01:00] Fit 165/240 A04_top3_mean any_gt1000 fold_1
[2026-09-09T23:17:46.087850+01:00] Fit 166/240 A04_top3_mean any_gt1000 fold_2
[2026-09-09T23:17:46.279920+01:00] Fit 167/240 A04_top3_mean any_gt1000 fold_3
[2026-09-09T23:17:46.549658+01:00] Fit 168/240 A04_top3_mean any_gt1000 fold_4
[2026-09-09T23:17:46.785019+01:00] Fit 169/240 A04_top3_mean wthr_gt0 full
[2026-09-09T23:17:47.048750+01:00] Fit 170/240 A04_top3_mean wthr_gt0 fold_0
[2026-09-09T23:17:47.287243+01:00] Fit 171/240 A04_top3_mean wthr_gt0 fold_1
[2026-09-09T23:17:47.568925+01:00] Fit 172/240 A04_top3_mean wthr_gt0 fold_2
[2026-09-09T23:17:47.725798+01:00] Fit 173/240 A04_top3_mean wthr_gt0 fold_3
[2026-09-09T23:17:47.870144+01:00] Fit 174/240 A04_top3_mean wthr_gt0 fold_4
[2026-09-09T23:17:48.058214+01:00] Fit 175/240 A04_top3_mean wthr_gt5 full
[2026-09-09T23:17:48.281644+01:00] Fit 176/240 A04_top3_mean wthr_gt5 fold_0
[2026-09-09T23:17:48.503773+01:00] Fit 177/240 A04_top3_mean wthr_gt5 fold_1
[2026-09-09T23:17:48.656556+01:00] Fit 178/240 A04_top3_mean wthr_gt5 fold_2
[2026-09-09T23:17:48.780417+01:00] Fit 179/240 A04_top3_mean wthr_gt5 fold_3
[2026-09-09T23:17:48.921004+01:00] Fit 180/240 A04_top3_mean wthr_gt5 fold_4
[2026-09-09T23:17:49.063332+01:00] Fit 181/240 A04_top3_mean wthr_gt100 full
[2026-09-09T23:17:49.237370+01:00] Fit 182/240 A04_top3_mean wthr_gt100 fold_0
[2026-09-09T23:17:49.388097+01:00] Fit 183/240 A04_top3_mean wthr_gt100 fold_1
[2026-09-09T23:17:49.580364+01:00] Fit 184/240 A04_top3_mean wthr_gt100 fold_2
[2026-09-09T23:17:49.753117+01:00] Fit 185/240 A04_top3_mean wthr_gt100 fold_3
[2026-09-09T23:17:49.940143+01:00] Fit 186/240 A04_top3_mean wthr_gt100 fold_4
[2026-09-09T23:17:50.070504+01:00] Fit 187/240 A04_top3_mean wthr_gt1000 full
[2026-09-09T23:17:50.212137+01:00] Fit 188/240 A04_top3_mean wthr_gt1000 fold_0
[2026-09-09T23:17:50.426468+01:00] Fit 189/240 A04_top3_mean wthr_gt1000 fold_1
[2026-09-09T23:17:50.670251+01:00] Fit 190/240 A04_top3_mean wthr_gt1000 fold_2
[2026-09-09T23:17:50.902130+01:00] Fit 191/240 A04_top3_mean wthr_gt1000 fold_3
[2026-09-09T23:17:51.165878+01:00] Fit 192/240 A04_top3_mean wthr_gt1000 fold_4
[2026-09-09T23:17:51.311297+01:00] Fit 193/240 A05_max_rolling3h_mean any_gt0 full
[2026-09-09T23:17:51.471791+01:00] Fit 194/240 A05_max_rolling3h_mean any_gt0 fold_0
[2026-09-09T23:17:51.601517+01:00] Fit 195/240 A05_max_rolling3h_mean any_gt0 fold_1
[2026-09-09T23:17:51.759677+01:00] Fit 196/240 A05_max_rolling3h_mean any_gt0 fold_2
[2026-09-09T23:17:51.926850+01:00] Fit 197/240 A05_max_rolling3h_mean any_gt0 fold_3
[2026-09-09T23:17:52.160882+01:00] Fit 198/240 A05_max_rolling3h_mean any_gt0 fold_4
[2026-09-09T23:17:52.340710+01:00] Fit 199/240 A05_max_rolling3h_mean any_gt5 full
[2026-09-09T23:17:52.516423+01:00] Fit 200/240 A05_max_rolling3h_mean any_gt5 fold_0
[2026-09-09T23:17:52.655578+01:00] Fit 201/240 A05_max_rolling3h_mean any_gt5 fold_1
[2026-09-09T23:17:52.782726+01:00] Fit 202/240 A05_max_rolling3h_mean any_gt5 fold_2
[2026-09-09T23:17:52.988958+01:00] Fit 203/240 A05_max_rolling3h_mean any_gt5 fold_3
[2026-09-09T23:17:53.190757+01:00] Fit 204/240 A05_max_rolling3h_mean any_gt5 fold_4
[2026-09-09T23:17:53.423465+01:00] Fit 205/240 A05_max_rolling3h_mean any_gt100 full
[2026-09-09T23:17:53.588951+01:00] Fit 206/240 A05_max_rolling3h_mean any_gt100 fold_0
[2026-09-09T23:17:53.778836+01:00] Fit 207/240 A05_max_rolling3h_mean any_gt100 fold_1
[2026-09-09T23:17:53.968984+01:00] Fit 208/240 A05_max_rolling3h_mean any_gt100 fold_2
[2026-09-09T23:17:54.136380+01:00] Fit 209/240 A05_max_rolling3h_mean any_gt100 fold_3
[2026-09-09T23:17:54.336739+01:00] Fit 210/240 A05_max_rolling3h_mean any_gt100 fold_4
[2026-09-09T23:17:54.657245+01:00] Fit 211/240 A05_max_rolling3h_mean any_gt1000 full
[2026-09-09T23:17:54.890186+01:00] Fit 212/240 A05_max_rolling3h_mean any_gt1000 fold_0
[2026-09-09T23:17:55.063195+01:00] Fit 213/240 A05_max_rolling3h_mean any_gt1000 fold_1
[2026-09-09T23:17:55.204371+01:00] Fit 214/240 A05_max_rolling3h_mean any_gt1000 fold_2
[2026-09-09T23:17:55.370985+01:00] Fit 215/240 A05_max_rolling3h_mean any_gt1000 fold_3
[2026-09-09T23:17:55.656210+01:00] Fit 216/240 A05_max_rolling3h_mean any_gt1000 fold_4
[2026-09-09T23:17:55.880048+01:00] Fit 217/240 A05_max_rolling3h_mean wthr_gt0 full
[2026-09-09T23:17:56.087939+01:00] Fit 218/240 A05_max_rolling3h_mean wthr_gt0 fold_0
[2026-09-09T23:17:56.277746+01:00] Fit 219/240 A05_max_rolling3h_mean wthr_gt0 fold_1
