Incident Reference,source_row_used,earliest_source_row,time_used,earliest_recorded_start,lag_hours,hour_diff,date_diff,gust_0h_used,gust_0h_earliest,gust_0h_delta,precipitation_24h_sum_used,precipitation_24h_sum_earliest,precipitation_24h_sum_delta,temperature_0h_used,temperature_0h_earliest,temperature_0h_delta,pressure_msl_0h_used,pressure_msl_0h_earliest,pressure_msl_0h_delta,earliest_weather_status,coordinate_diff,lad_diff,current_date,temporal_partition_change
FREP-350775-Z,236573,236573,2023-01-04 16:53:00+00:00,2023-01-04 16:53:00+00:00,0.0,False,False,15.699999809265137,15.699999809265137,0.0,4.199999809265137,4.199999809265137,0.0,11.399999618530272,11.399999618530272,0.0,1013.5,1013.5,0.0,matched,False,False,2023-01-04,False
FREP-350305-Z,236604,236604,2023-01-03 15:50:00+00:00,2023-01-03 15:50:00+00:00,0.0,False,False,14.899999618530272,14.899999618530272,0.0,1.7000000476837158,1.7000000476837158,0.0,9.75,9.75,0.0,1016.4000244140624,1016.4000244140624,0.0,matched,False,False,2023-01-03,False
FREP-350498-Z,236614,236614,2023-01-03 16:37:00+00:00,2023-01-03 16:37:00+00:00,0.0,False,False,14.899999618530272,14.899999618530272,0.0,1.899999976158142,1.899999976158142,0.0,9.800000190734863,9.800000190734863,0.0,1016.0999755859376,1016.0999755859376,0.0,matched,False,False,2023-01-03,False
FREP-350507-Z,236615,236615,2023-01-03 17:06:00+00:00,2023-01-03 17:06:00+00:00,0.0,False,False,17.799999237060547,17.799999237060547,0.0,2.900000095367432,2.900000095367432,0.0,10.300000190734863,10.300000190734863,0.0,1013.5,1013.5,0.0,matched,False,False,2023-01-03,False
FREP-220546-J,236621,236621,2022-11-14 09:00:00+00:00,2022-11-14 09:00:00+00:00,0.0,False,False,2.900000095367432,2.900000095367432,0.0,0.0,0.0,0.0,10.449999809265137,10.449999809265137,0.0,1009.5,1009.5,0.0,matched,False,False,2022-11-14,False
FREP-223983-Z,236628,236628,2021-09-10 11:06:00+00:00,2021-09-10 11:06:00+00:00,0.0,False,False,10.5,10.5,0.0,3.200000047683716,3.200000047683716,0.0,20.600000381469727,20.600000381469727,0.0,1010.4000244140624,1010.4000244140624,0.0,matched,False,False,2021-09-10,False
FREP-226759-Z,236633,236633,2022-07-24 09:40:00+00:00,2022-07-24 09:40:00+00:00,0.0,False,False,13.100000381469728,13.100000381469728,0.0,0.2000000029802322,0.2000000029802322,0.0,22.26500129699707,22.26500129699707,0.0,1015.5,1015.5,0.0,matched,False,False,2022-07-24,False
FREP-227051-Z,236638,236638,2021-04-07 03:30:00+00:00,2021-04-07 03:30:00+00:00,0.0,False,False,8.899999618530273,8.899999618530273,0.0,0.800000011920929,0.800000011920929,0.0,-1.149999976158142,-1.149999976158142,0.0,1020.4000244140624,1020.4000244140624,0.0,matched,False,False,2021-04-07,False
FREP-227625-J,236639,236639,2022-08-23 09:00:00+00:00,2022-08-23 09:00:00+00:00,0.0,False,False,8.0,8.0,0.0,1.4000000953674316,1.4000000953674316,0.0,22.14999961853028,22.14999961853028,0.0,1013.7999877929688,1013.7999877929688,0.0,matched,False,False,2022-08-23,False
FREP-336321-Z,236663,236663,2022-10-23 18:03:00+00:00,2022-10-23 18:03:00+00:00,0.0,False,False,10.199999809265137,10.199999809265137,0.0,9.100000381469728,9.100000381469728,0.0,15.699999809265137,15.699999809265137,0.0,997.2000122070312,997.2000122070312,0.0,matched,False,False,2022-10-23,False
FREP-336085-Z,236676,236676,2022-10-24 18:02:00+00:00,2022-10-24 18:02:00+00:00,0.0,False,False,8.199999809265137,8.199999809265137,0.0,2.400000095367432,2.400000095367432,0.0,12.25,12.25,0.0,1005.7000122070312,1005.7000122070312,0.0,matched,False,False,2022-10-24,False
FREP-336156-Z,236690,236690,2022-10-25 09:37:00+00:00,2022-10-25 09:37:00+00:00,0.0,False,False,5.800000190734863,5.800000190734863,0.0,3.499999761581421,3.499999761581421,0.0,12.199999809265137,12.199999809265137,0.0,1011.2000122070312,1011.2000122070312,0.0,matched,False,False,2022-10-25,False
FREP-336167-Z,236692,236692,2022-10-25 18:46:00+00:00,2022-10-25 18:46:00+00:00,0.0,False,False,6.099999904632568,6.099999904632568,0.0,0.2000000029802322,0.2000000029802322,0.0,13.5,13.5,0.0,1009.7999877929688,1009.7999877929688,0.0,matched,False,False,2022-10-25,False
FREP-336400-Z,236744,236744,2022-10-26 11:12:00+00:00,2022-10-26 11:12:00+00:00,0.0,False,False,15.0,15.0,0.0,0.7000000476837158,0.7000000476837158,0.0,17.549999237060547,17.549999237060547,0.0,1011.0999755859376,1011.0999755859376,0.0,matched,False,False,2022-10-26,False
FREP-336467-Z,236751,236751,2022-11-10 09:12:00+00:00,2022-11-10 09:12:00+00:00,0.0,False,False,12.100000381469728,12.100000381469728,0.0,0.0,0.0,0.0,12.649999618530272,12.649999618530272,0.0,1018.9000244140624,1018.9000244140624,0.0,matched,False,False,2022-11-10,False
