outer_group,inner_validation_group,task,model,config,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
P5,P1,E_log,S01,"{""lambda"":0.1}",3688,270,ok,270,3.8985458902811145,1.974473572950804,1.6945392966348518,0.01759355632876669,2.2553727869836906,2.3650755549146254,-0.10970276793093521,0.23149930426421944,0.1602988493555925,0.19705727724159175,0.6177052730496091,0.6924377153748892,1052.6073903759009,3.2493682687613292,1049.3580221071395
P5,P2,E_log,S01,"{""lambda"":0.1}",1355,2603,ok,2603,5.831941278262376,2.414941257724994,1.9665506853817816,-0.10995315397342043,3.1054919247043675,2.180049321265799,0.9254426034385682,0.19141275798732152,0.2342758441934688,0.2342418652576337,0.437263847886348,1.2239301426762077,15180.543147316965,2229.3237639105805,12951.219383406384
P5,P3,E_log,S01,"{""lambda"":0.1}",3449,509,ok,509,4.1983761320932915,2.0489939316877663,1.5725898568715506,-0.06901254110362842,2.139311737452243,1.6552084142940278,0.4841033231582153,0.21026940768914343,0.08292609809849442,0.10168221163181573,1.4865302565621592,0.39438023348165824,2136.9734512354853,119.28721799384917,2017.6862332416363
P5,P4,E_log,S01,"{""lambda"":0.1}",3382,576,ok,576,4.89842013628132,2.213237478510004,1.9517052549494198,-0.020206022933134893,2.2801567263537543,2.924825749387062,-0.6446690230333072,0.3161610297806999,0.2630137936167074,0.2628102766138201,-0.15300056867312506,0.8318982064270944,2821.48999849804,239.384533973022,2582.1054645250183
P5,P1,E_log,S02,"{""lambda"":0}",3688,270,ok,270,29.62896128576634,5.443249147868058,5.0838700129004915,-6.466292126761005,2.2553727869836906,7.329520967843301,-5.074148180859611,0.2717360797920197,0.17592098631393344,0.21909306722856936,-2.489733416279923,0.6473964975448939,7999.8195471569115,6951.684535556642,1048.1350116002704
P5,P2,E_log,S02,"{""lambda"":0}",1355,2603,ok,2603,19.53027787911783,4.419307398124488,3.846589397599826,-2.7170630662390716,3.1054919247043675,-0.6416695178456084,3.7471614425499764,0.5422420727119469,0.22990813722739323,0.25690910881159246,3.37755683996566,0.4239953865577791,50837.31331934371,36549.29273561597,14288.020583727754
P5,P3,E_log,S02,"{""lambda"":0}",3449,509,ok,509,4.211463264793097,2.052184997701985,1.5935563121960528,-0.07234485544207825,2.139311737452243,1.7470441881193326,0.3922675493329107,0.2644497836563209,0.06951980350106576,0.09776022734190765,1.680040540529742,0.26288470551904,2143.6348017796863,78.32177960216059,2065.3130221775255
P5,P4,E_log,S02,"{""lambda"":0}",3382,576,ok,576,5.10451332903384,2.2593170049893043,1.9781687498614413,-0.06312955964129086,2.2801567263537543,3.021397807364974,-0.7412410810112194,0.36729275133370415,0.25348619164150715,0.2572025414778919,0.19494643880548823,0.6901475477559914,2940.199677523492,316.47648394292037,2623.7231935805717
P5,P1,E_log,S02,"{""lambda"":0.001}",3688,270,ok,270,6.810725557063016,2.6097366834726863,2.323362329715808,-0.7162554607899183,2.2553727869836906,3.9658981941040783,-1.7105254071203881,0.2745732302462921,0.17561932383509873,0.21822985218719826,-0.28124871330840895,0.6396083248085339,1838.8959004070143,789.9922354691797,1048.9036649378347
P5,P2,E_log,S02,"{""lambda"":0.001}",1355,2603,ok,2603,9.178064579476825,3.029532072693211,2.386019608630545,-0.7467977198833031,3.1054919247043675,1.1762250298906116,1.9292668948137557,0.5301351716865051,0.22884883337954043,0.25572051851452693,2.5977389208318766,0.4316801555563833,23890.502100378173,9688.550165957482,14201.951934420691
P5,P3,E_log,S02,"{""lambda"":0.001}",3449,509,ok,509,4.231247657865453,2.0569996737640612,1.5895924725574553,-0.07738246132755378,2.139311737452243,1.718476187132986,0.4208355503192568,0.26282831007227175,0.06999063693995125,0.09846076544945556,1.6816850728417863,0.26629793769440385,2153.705057853516,90.14520324996846,2063.5598546035476
P5,P4,E_log,S02,"{""lambda"":0.001}",3382,576,ok,576,5.107920905586401,2.2600709956960205,1.979417865477272,-0.06383926400020856,2.2801567263537543,3.025305009674814,-0.7451482833210596,0.36650747152821095,0.2539251192021012,0.2577131463995093,0.18415324789462328,0.6928238547042989,2942.1624416177674,319.8216753425216,2622.340766275246
P5,P1,E_log,S02,"{""lambda"":0.1}",3688,270,ok,270,3.882897718950601,1.970506970033499,1.6915822425241627,0.021536786645765638,2.2553727869836906,2.357448513357046,-0.10207572637335507,0.2206155511546283,0.16506913854941138,0.20022631526954793,0.4914808344998405,0.7482207744898057,1048.3823841166623,2.8132525569549753,1045.5691315597076
P5,P2,E_log,S02,"{""lambda"":0.1}",1355,2603,ok,2603,5.370618034159373,2.317459392127373,1.9120708607470207,-0.022152683193312983,3.1054919247043675,2.4895395655595967,0.6159523591447711,0.3127627252457194,0.23640271012395836,0.250248525899546,1.223765450436266,0.7558532108908775,13979.71874291685,987.5711946398317,12992.147548277018
P5,P3,E_log,S02,"{""lambda"":0.1}",3449,509,ok,509,4.146956222581798,2.036407675928815,1.572822943122726,-0.05591973417048868,2.139311737452243,1.682566816268694,0.4567449211835492,0.19965985668938022,0.09281586400350879,0.11135925183595477,1.3571370159779568,0.46486993200594445,2110.800717294135,106.18550482072598,2004.6152124734097
P5,P4,E_log,S02,"{""lambda"":0.1}",3382,576,ok,576,4.830804354962977,2.1979090870559177,1.9396944527350337,-0.006123517670801215,2.2801567263537543,2.8941666587847874,-0.6140099324310326,0.30783385121192847,0.2715078070973248,0.26936174371558724,-0.2724827569494388,0.8819946410325258,2782.543308458675,217.1567215434017,2565.386586915273
