path,outer,inner,task,model,config,start_tau,start_h,tau,h,b,objective,success,status,message,iterations,tau_at_bound,h_at_bound,b_at_bound
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",24.17500066757202,0.5,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",24.17500066757202,2.0,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",24.17500066757202,5.0,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,0.5,29.600000381469727,0.5,9.375578493742154e-05,4.678512961914305,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,2.0,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P4,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,5.0,4.599999904632568,19.999999999999996,0.0642242842459122,4.631577280977141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,True,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",8.5,0.5,13.052562647648157,0.05000000000000001,0.06934425512716724,4.641306330666522,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",8.5,2.0,13.051319640526717,0.05000000000000001,0.06934188740463987,4.641306336197258,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",8.5,5.0,13.053240588221398,0.05000000000000001,0.06934554509686675,4.641306332112411,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",18.0,0.5,13.052728632107751,0.05000000000000001,0.0693445710497933,4.64130633072871,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",18.0,2.0,13.05253140346742,0.05000000000000001,0.06934419565267902,4.641306330675955,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",18.0,5.0,13.052042070602003,0.05000000000000001,0.06934326391614243,4.641306331696571,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",23.600000381469727,0.5,13.0523081848259,0.05000000000000001,0.06934377068664777,4.64130633093806,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",23.600000381469727,2.0,13.05255113872172,0.05000000000000001,0.0693442332197276,4.641306330669218,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",23.600000381469727,5.0,13.051863187358242,0.05000000000000001,0.06934292317748092,4.6413063324788215,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,0.5,13.053889195135756,0.05000000000000001,0.06934677832572489,4.641306336455738,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,2.0,13.052407905543845,0.05000000000000001,0.06934396054920411,4.641306330778759,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
B_inner,P1,P5,E_log,S04,"{""control_lambda"":0.1}",29.600000381469727,5.0,13.052418249896586,0.05000000000000001,0.06934398024304667,4.6413063307661355,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",8.699999809265137,0.5,12.592486063101184,0.05000000000000001,0.07391041336126003,4.602588059306733,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",8.699999809265137,2.0,12.592072668275753,0.05000000000000001,0.07390953459226912,4.602588059756693,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",8.699999809265137,5.0,12.591851761210119,0.05000000000000001,0.07390906492557892,4.602588060316084,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",17.75,0.5,12.593992240374375,0.05000000000000001,0.07391361352487746,4.602588064248234,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",17.75,2.0,12.591694524507362,0.05000000000000001,0.07390873059503056,4.6025880608495795,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",17.75,5.0,12.594348395606437,0.05000000000000001,0.07391436988360245,4.602588066926392,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",23.5,0.5,12.592559864876584,0.05000000000000001,0.07391057022492142,4.602588059308245,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",23.5,2.0,12.5931959528014,0.05000000000000001,0.07391192196660712,4.602588060349104,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",23.5,5.0,12.592532868103163,0.05000000000000001,0.07391051284470351,4.602588059304816,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",29.200000762939453,0.5,12.593083797529532,0.05000000000000001,0.07391168365898837,4.602588060031828,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
B_outer_fit,P1,NA,E_log,S04,"{""control_lambda"":0.1}",29.200000762939453,2.0,12.592541458634727,0.05000000000000001,0.07391053110350909,4.602588059305548,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,19,False,True,False
