Incident Reference,Spatial Coordinates,Cause Code,licence_area,regulatory_year,substation,SiteFunctionalLocation
FREP-21694-U,1,1,1,1,1,1
FREP-21695-U,1,1,1,1,1,1
FREP-21696-U,1,1,1,1,1,1
FREP-21699-U,1,1,1,1,1,1
FREP-21701-U,1,1,1,1,1,1
FREP-21702-U,1,1,1,1,1,1
FREP-21720-U,1,1,1,1,1,1
FREP-21796-U,1,1,1,1,1,1
FREP-21809-U,1,1,1,1,1,1
FREP-21810-U,1,1,1,1,1,1
FREP-21822-U,1,1,1,1,1,1
FREP-21823-U,1,1,1,1,1,1
FREP-21831-U,1,1,1,1,1,1
FREP-21842-U,1,1,1,1,1,1
FREP-21844-U,1,1,1,1,1,1
FREP-21845-U,1,1,1,1,1,1
FREP-21846-U,1,1,1,1,1,1
FREP-21851-U,1,1,1,1,1,1
FREP-21858-U,1,1,1,1,1,1
FREP-21859-U,1,1,1,1,1,1
FREP-21861-U,1,1,1,1,1,1
FREP-21863-U,1,1,1,1,1,1
FREP-21866-U,1,1,1,1,1,1
FREP-21867-U,1,1,1,1,1,1
FREP-21869-U,1,1,1,1,1,1
FREP-21870-U,1,1,1,1,1,1
FREP-21872-U,1,1,1,1,1,1
FREP-21877-U,1,1,1,1,1,1
FREP-21880-U,1,1,1,1,1,1
FREP-21886-U,1,1,1,1,1,1
FREP-21890-U,1,1,1,1,1,1
FREP-21895-U,1,1,1,1,1,1
FREP-21901-U,1,1,1,1,1,1
FREP-21906-U,1,1,1,1,1,1
FREP-21909-U,1,1,1,1,1,1
FREP-21910-U,1,1,1,1,1,1
FREP-21911-U,1,1,1,1,1,1
FREP-21913-U,1,1,1,1,1,1
FREP-21916-U,1,1,1,1,1,1
FREP-21925-U,1,1,1,1,1,1
FREP-21938-U,1,1,1,1,1,1
FREP-21942-U,1,1,1,1,1,1
FREP-21951-U,1,1,1,1,1,1
FREP-21952-U,1,1,1,1,1,1
FREP-21958-U,1,1,1,1,1,1
