storm,eta_pred,observed
Dudley,2.823190166544417,2.0
Dudley,2.305406242902384,1552.0
Dudley,2.557404378020896,0.0
Dudley,1.9554355742941787,1.0
Dudley,2.3046080723403617,2.0
Dudley,2.0837967075992365,51.0
Dudley,2.41546933131503,94.0
Dudley,2.353436142936278,11.0
Dudley,2.288902412135605,10.0
Dudley,2.2451459788256245,1.0
Dudley,2.1087667598582693,52.0
Dudley,2.2011496858067665,1.0
Dudley,2.190439253092318,2.0
Dudley,2.7351481832456295,83.0
Dudley,2.1419053150659955,2.0
Dudley,2.2386801080682206,1.0
Dudley,2.5181013534256116,1.0
Dudley,2.590124223255344,584.0
Dudley,2.4114422261170687,8.0
Dudley,2.345159502730088,1.0
Dudley,1.9157013331639534,1.0
Dudley,2.5739464834886814,4.0
Dudley,2.5762697609106713,1.0
Dudley,2.0254686640253903,26.0
Dudley,2.0435018268322582,409.0
Dudley,2.4530521224701176,1.0
Dudley,2.0464598910767937,65.0
Dudley,2.5205448650221776,36.0
Dudley,2.548357673480163,26.0
Dudley,3.2559026473671158,975.0
Dudley,3.232198948734221,479.0
Dudley,3.09174198380564,38.0
Dudley,2.8659278397558103,424.0
Dudley,2.063746581802014,32.0
Dudley,2.4200827280026522,1.0
Dudley,2.7476633538051867,32.0
Dudley,1.9269479582430618,1.0
Dudley,2.472520536887751,0.0
Dudley,2.2160107854825255,169.0
Dudley,3.069869800591896,19.0
Dudley,2.2785135621067827,76.0
Dudley,2.7035032292362655,1.0
Dudley,3.0594858792172492,1.0
Dudley,2.5797386605987476,41.0
Dudley,2.1126351162926933,20.0
Dudley,2.5275044745757187,0.0
Dudley,2.1857280624573403,1.0
Dudley,2.249699549428026,0.0
Dudley,1.9628256867697236,94.0
Dudley,2.4898652959291616,1.0
Dudley,2.0494473025812225,0.0
Dudley,2.743096818803429,22.0
Dudley,2.0586388974988443,2.0
Dudley,1.8765618479546442,0.0
Dudley,2.1633543623346134,14.0
Dudley,2.332410664826613,1.0
Dudley,2.5726746414096935,1.0
Dudley,2.2588061234151477,1.0
Dudley,1.8883998684750216,1.0
Dudley,2.4277006881755905,1.0
Dudley,2.9936339942308385,1.0
Dudley,2.8062357011196593,0.0
Dudley,2.5052263619035684,7.0
Dudley,2.165902117827209,9.0
Dudley,1.9361633396667253,2.0
Dudley,1.9525742663804186,1.0
Dudley,2.6973457124609803,0.0
Dudley,2.0015783191871224,0.0
Dudley,1.7464542578229507,12.0
Dudley,2.5599004069468094,0.0
Dudley,2.5656343684372973,1.0
Dudley,2.5884626241304534,3.0
Dudley,2.8748191951896196,116.0
Dudley,2.0779385999609428,8.0
Dudley,2.738978350180765,1.0
Dudley,2.9743123455277733,87.0
Dudley,3.2092200700671465,5.0
Dudley,1.9234107083370129,1.0
Dudley,2.246977658780591,2.0
Dudley,2.5373304900403197,0.0
Dudley,3.0881182622326775,6.0
Dudley,2.886632788939002,61.0
Dudley,2.479546984214351,1.0
Dudley,2.2148076046092395,8.0
Dudley,2.358458548317864,1.0
Dudley,1.961882090573568,1.0
Dudley,1.9693288261449136,108.0
Dudley,2.0291210194232434,0.0
Dudley,1.865646274787481,0.0
Dudley,1.9361633396667253,1.0
Dudley,2.443089261184304,1.0
Dudley,3.4462717745574394,1.0
Dudley,2.7122126056667306,337.0
Dudley,3.1683401342290587,1.0
Dudley,3.101858748239034,90.0
Dudley,2.9516588510709156,2.0
Dudley,2.1991816974402036,22.0
Dudley,2.2312305754343544,0.0
Dudley,2.348916388214104,21.0
Dudley,2.7778052965601114,9.0
Dudley,2.843982765276349,363.0
Dudley,2.3143529299099317,73.0
Dudley,2.5366490963195645,4.0
Dudley,2.8766532913117744,164.0
Dudley,2.487378814215719,1.0
Dudley,1.727310867454556,0.0
Dudley,1.9915670711207014,0.0
Dudley,2.8061228159016465,0.0
Dudley,2.5981829402301293,0.0
Dudley,2.432617900915674,0.0
Dudley,1.9970919185130727,18.0
Dudley,2.1245891653814777,11.0
Dudley,2.204699870973097,6.0
Dudley,2.40441257595628,1.0
Dudley,1.95625993364328,1.0
Dudley,2.6052236595618425,1.0
Dudley,2.635315973249599,0.0
Dudley,3.0109691168426935,69.0
Dudley,3.1568000917579524,1.0
Dudley,2.277566752162801,1.0
Dudley,2.972859001535367,4.0
Dudley,3.2872963048386055,0.0
Dudley,2.3698250005000285,1.0
Dudley,1.7996442607023633,1.0
Dudley,2.3645581917148903,1.0
Dudley,1.9453939228378039,42.0
Dudley,2.5509988140461943,19.0
Dudley,2.466672754924591,0.0
Dudley,2.3640410314355353,1.0
Dudley,2.1788495563917203,1.0
Dudley,2.3288546553247618,0.0
Dudley,2.488380169229525,207.0
Dudley,2.4277688180912005,337.0
Dudley,1.97452193483407,1.0
Dudley,2.376251191455463,0.0
Dudley,1.8431455169296445,1.0
Dudley,1.8919828964669227,7.0
Dudley,2.8137407018750857,1.0
Dudley,2.703657435262201,1.0
Dudley,2.110348475162388,1.0
Dudley,2.074617960558243,5.0
Dudley,2.14796342476218,2.0
Dudley,1.9943930280497437,22.0
Dudley,1.7907518184040605,1.0
Dudley,2.8659278397558103,0.0
Dudley,2.0535676464144745,139.0
