storm,eta_pred,observed,in_training_range
Arwen,2.1630534171847082,12.55,True
Arwen,1.9435390707512519,0.7166666666666667,True
Arwen,1.731579228445493,19.2,True
Arwen,1.4459387553109677,2.4833333333333334,True
Arwen,1.9695697858995092,5.316666666666666,True
Arwen,1.5482571834568295,1.3166666666666669,True
Arwen,1.5687463081620463,7.95,True
Arwen,1.5623577393388766,5.65,True
Arwen,2.4074183264487776,5.95,True
Arwen,1.9589201691170863,6.3,True
Arwen,1.5880282894891466,12.916666666666666,True
Arwen,1.3547053874057464,1.0,True
Arwen,2.1936163091703973,10.2,True
Arwen,2.135544788925368,2.6666666666666665,True
Arwen,1.8146549378760155,5.25,True
Arwen,1.7761253712874734,5.166666666666667,True
Arwen,1.4079446072860737,1.0,True
Arwen,1.342494409796734,1.0,True
Arwen,1.6971087408820813,3.633333333333333,True
Arwen,2.1769658611143656,3.85,True
Arwen,1.3621730728063248,0.5,True
Dudley,1.641652075873736,1.0,True
Dudley,2.4977420873371567,4.316666666666666,True
Dudley,2.546576464539557,18.216666666666665,True
Dudley,2.2450785079057134,3.083333333333333,True
Dudley,1.0296644590702424,1.3,True
Dudley,2.2694913753641086,3.3833333333333333,True
Dudley,1.9675494123662542,9.216666666666669,True
Dudley,3.1440266678898254,1.5833333333333333,True
Dudley,2.341054298857498,44.3,True
Dudley,2.646261930074953,8.05,True
Dudley,2.652606517339066,13.733333333333333,True
Dudley,2.590028127156693,15.966666666666669,True
Dudley,1.7301485746929057,1.2833333333333334,True
Dudley,2.6502630623987957,1.3666666666666667,True
Dudley,2.0991130230959625,13.916666666666666,True
Dudley,2.734252599977876,8.033333333333333,True
Dudley,2.1790989489911734,66.01666666666667,True
Dudley,1.9099458036941581,7.033333333333333,True
Dudley,1.2764657568392157,12.7,True
Dudley,2.093676722379627,26.65,True
Dudley,2.1175885414357403,7.566666666666666,True
Dudley,2.7730286746047086,3.033333333333333,True
Dudley,2.267908716662258,4.916666666666667,True
Dudley,2.2993038786648023,14.433333333333334,True
Dudley,2.6646628967518318,8.016666666666667,True
Dudley,2.6486591875377616,6.75,True
Dudley,2.0130119800815116,0.85,True
Dudley,2.09359381503753,3.0,True
Dudley,1.8932522903098128,1.8166666666666669,True
Dudley,1.7205606469023962,1.6166666666666667,True
Dudley,2.3579654535057935,12.133333333333333,True
Dudley,2.4827471473698766,5.3,True
Dudley,2.394256265032714,7.3,True
Dudley,2.2807379218402053,13.0,True
Dudley,2.4259541368850885,11.216666666666669,True
Dudley,2.4657963044727045,7.066666666666666,True
Dudley,1.8444943347291665,1.0,True
Dudley,2.5524674903518774,16.616666666666667,True
Dudley,2.188281858195719,13.333333333333334,True
Dudley,2.3239480694611765,18.23333333333333,True
Dudley,2.57639733806011,14.766666666666667,True
Dudley,2.4702373347853497,0.1333333333333333,True
Dudley,0.9762232197534091,8.45,True
Dudley,2.235942623453664,27.65,True
Dudley,1.246035284258183,7.116666666666666,True
Dudley,1.828818290303501,6.433333333333334,True
Dudley,2.2770799542496385,5.516666666666667,True
Dudley,2.8472792552468693,7.633333333333334,True
Dudley,3.007033625384257,2.3833333333333333,True
Dudley,0.5780975579734842,3.25,True
Dudley,2.767505683896743,2.033333333333333,True
Dudley,1.9423216073376792,6.25,True
Dudley,2.682948722912632,5.316666666666666,True
Dudley,2.5849644556301805,6.4,True
Dudley,1.354091744687599,4.35,True
Dudley,1.6287023271214591,11.433333333333334,True
Dudley,1.5806356165176318,11.166666666666666,True
Dudley,1.9522790033604294,6.066666666666666,True
Dudley,2.063176516628924,2.9833333333333334,True
Dudley,2.3436160339197296,0.45,True
Dudley,2.450059814495974,27.266666666666666,True
Dudley,2.5681832470587262,7.766666666666667,True
Dudley,2.0146213332153757,4.466666666666667,True
Dudley,2.5090898125691763,19.616666666666667,True
Dudley,2.5761539563265905,1.75,True
Dudley,2.5291149903249672,18.683333333333334,True
Dudley,2.4483909799570296,9.95,True
Dudley,2.653502742280244,0.9833333333333332,True
Dudley,2.074466403625424,0.5833333333333334,True
Dudley,1.788384672300891,6.633333333333334,True
Dudley,3.2605279433143317,21.28333333333333,True
Dudley,2.500805896837054,3.4,True
Dudley,2.4809385712280294,3.3666666666666667,True
Dudley,2.7281707660927883,8.616666666666667,True
Dudley,2.578763113638627,27.53333333333333,True
Dudley,2.161942293990163,0.7166666666666667,True
Dudley,1.4767497148952191,7.483333333333333,True
Dudley,1.9584099529877592,0.6666666666666666,True
Dudley,1.693913920928316,6.2,True
Dudley,2.2622712249764962,9.4,True
Dudley,1.1777769726876388,2.833333333333333,True
Dudley,2.1931993024302328,5.7,True
Dudley,2.019192533831831,7.5,True
Dudley,2.394073663839534,6.583333333333333,True
Dudley,1.3185096748601206,6.533333333333333,True
Dudley,1.9440822917908689,5.05,True
Dudley,1.942577723034758,4.916666666666667,True
Dudley,2.700226321067381,0.5333333333333333,True
Dudley,2.683623851353332,8.15,True
Dudley,2.2717492316490726,3.55,True
Dudley,1.8207975721398106,1.9833333333333327,True
Dudley,2.192613348967854,15.766666666666667,True
Dudley,2.2052468850088736,2.55,True
