Incident Reference,new_source_row,new_start_utc,new_stage,old_source_row,old_start_utc,old_stage,representative_row_changed,time_diff_hours_old_minus_new,new_gust_0h,old_gust_0h,gust_0h_diff,lat,lon,weather_status_v3,cause_group_official,cache_status,lat_r,lon_r,recomputed_gust_0h,recomputed_pressure_msl_0h,recomputed_temperature_0h,recomputed_precip_24h_sum
FREP-228955-Z,88517,2021-04-03 02:39:00+00:00,3,84917,2021-04-03 07:31:00+00:00,7,True,4.866666666666666,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-277423-G,216186,2022-04-29 03:21:00+00:00,1,42767,2022-04-29 05:16:00+00:00,2,True,1.9166666666666667,,,,50.9836035710203,0.296735092609588,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.0,0.3,,,,
FREP-323160-G,100959,2023-06-27 21:15:00+00:00,1,94525,2023-06-28 08:30:00+00:00,2,True,11.25,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-311208-Z,165710,2022-06-21 19:40:00+00:00,1,29481,2022-06-21 20:10:00+00:00,3,True,0.5,,,,52.0413941149378,-0.588910667443523,weather_request_unavailable,external_or_customer,not_found_needs_new_request,52.0,-0.6,,,,
FREP-281039-J,33343,2021-12-25 03:56:00+00:00,1,33342,2021-12-25 11:35:00+00:00,5,True,7.65,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-352519-G,75966,2024-02-12 21:00:00+00:00,2,54682,2024-02-12 23:01:00+00:00,3,True,2.0166666666666666,,,,51.1756619558011,0.490534373189508,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,51.2,0.5,,,,
FREP-345333-G,205604,2023-12-05 08:20:00+00:00,1,57665,2023-12-05 17:00:00+00:00,2,True,8.666666666666666,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-306541-G,24093,2023-01-16 20:10:00+00:00,1,14309,2023-01-16 23:16:00+00:00,2,True,3.1,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-251472-G,223001,2021-05-26 05:19:00+00:00,1,95326,2021-05-26 11:58:00+00:00,2,True,6.65,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-289415-G,138268,2022-08-29 07:49:00+00:00,1,119631,2022-08-29 15:05:00+00:00,2,True,7.266666666666667,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
