task,model,episode,n,mse,rmse,mae,r2
R_log,S03,P2,2603,4.127153302685982,2.0315396384727475,1.769730071733948,-0.3440372286278699
R_log,S03,P3,509,1.6390900602733292,1.2802695264175155,1.014229510744979,-0.18512548892426084
R_log,S03,P4,576,1.9500790477103733,1.3964523077106406,1.0754751199119035,-0.11733034526101838
R_log,S03,P5,494,2.2698886460387535,1.5066149627687737,1.2027816585898354,-0.15766125965429412
R_log,S04,P1,270,1.7561887393409135,1.3252127147522066,1.0313924190842374,-0.5050410840880641
R_log,S04,P2,2603,4.104571543021018,2.025974220719755,1.7643350038135628,-0.33668331578487365
R_log,S04,P3,509,1.6903861996850655,1.3001485298553646,1.0322945118249083,-0.22221458108196934
R_log,S04,P4,576,1.9744532031884552,1.405152377213395,1.0807714108169233,-0.13129592454753358
R_log,S04,P5,494,2.2796114591097796,1.5098382228271279,1.2069763618378275,-0.16261997163641273
R_log,S05,P1,270,1.2511272373151472,1.1185379910021596,0.866913433323546,-0.0722070193250246
R_log,S05,P2,2603,5.843296554170223,2.4172911604046012,2.123024492287169,-0.9029116513812416
R_log,S05,P3,509,1.3303313288224963,1.1533998997843273,0.8731416882598645,0.03811901205775581
R_log,S05,P4,576,1.8669566113969458,1.3663662069141442,1.0655044654270012,-0.06970395771838755
R_log,S05,P5,494,2.042625448084774,1.429204480851069,1.1186518554299014,-0.04175522149881061
E_log,B00,POOLED,4452,5.3441233558987165,2.311736004802174,1.9766115105895974,-0.053856663321569354
E_log,B00,MACRO,4452,4.906912331400877,2.2151551483814576,,
E_log,B01,POOLED,4452,4.934624662685078,2.221401508661835,1.904520970413193,0.026896137039659096
E_log,B01,MACRO,4452,4.693582102700022,2.166467655585936,,
E_log,G02,POOLED,4452,4.746639371578011,2.178678354318969,1.8445421823395982,0.06396667947408063
E_log,G02,MACRO,4452,4.304078276660153,2.074627262102798,,
E_log,G05,POOLED,4452,4.701987968410347,2.168406781120726,1.8438072678069501,0.07277189889383084
E_log,G05,MACRO,4452,4.26674121434146,2.065609163017404,,
E_log,P00,POOLED,4452,4.799374471285604,2.190747468624717,1.8601708933058259,0.053567361846722616
E_log,P00,MACRO,4452,4.364462677369622,2.0891296458979327,,
E_log,P02,POOLED,4452,4.8521797967394775,2.2027663963161137,1.8677506958069374,0.0431541957608379
E_log,P02,MACRO,4452,4.388777240963793,2.0949408681306,,
E_log,S01,POOLED,4452,4.815598611195172,2.194447222239617,1.8868952189686474,0.05036797500407275
E_log,S01,MACRO,4452,4.5800724006020355,2.1401103711262266,,
E_log,S02,POOLED,4452,4.877322160301268,2.2084660197298187,1.889365267596354,0.038196142660884336
E_log,S02,MACRO,4452,4.572564350085684,2.1383555247165247,,
E_log,S03,POOLED,4452,4.8193304177424805,2.195297341533142,1.874260485098505,0.04963206586908464
E_log,S03,MACRO,4452,4.449364667975393,2.109351717465675,,
E_log,S04,POOLED,4452,4.95577562595854,2.226157143141189,1.8939730844726244,0.022725184743656035
E_log,S04,MACRO,4452,4.537421125693479,2.1301223264623745,,
E_log,S05,POOLED,4452,4.712755034938333,2.170888075175303,1.8471860132005498,0.07064864236525192
E_log,S05,MACRO,4452,4.378834369731754,2.092566455272509,,
R_C_log,B00,POOLED,4452,3.609164426305114,1.899780099460228,1.5689056883069659,-0.27439084256877866
R_C_log,B00,MACRO,4452,2.671396390203952,1.63444069644755,,
R_C_log,B01,POOLED,4452,3.4188123421973904,1.849003067114111,1.5439949184363824,-0.20717779151388083
